customer_id,acquisition_channel,customer_segment,recency_days,frequency,monetary,rfm_segment
7621,affiliate,VIP,680,2,731.36,Dormant
8838,organic_search,Regular,108,4,4924.94,Loyal
7662,direct,New,117,2,1516.53,Developing
6305,email,VIP,332,3,1918.54,Developing
7466,social_media,Regular,386,6,3252.11,Dormant
985,referral,Regular,68,6,7837.86,Loyal
2906,direct,New,301,5,4524.60,Developing
9954,paid_search,New,81,4,5110.91,Loyal
4579,referral,Wholesale,110,6,3868.32,Loyal
8655,direct,Regular,401,6,5290.76,Dormant
7180,marketplace,Wholesale,145,4,3394.47,Developing
5267,affiliate,New,57,9,9060.20,Champions
2056,social_media,New,319,6,5810.47,Developing
8181,email,New,52,6,5247.00,Champions
4913,affiliate,New,174,4,2140.53,Developing
8695,email,New,370,7,11357.61,Dormant
1335,referral,New,64,6,5690.71,Loyal
7361,paid_search,Regular,43,7,9324.99,Champions
2489,social_media,Regular,25,5,5545.46,Champions
2074,email,VIP,491,5,5073.13,Dormant
9708,direct,Regular,30,2,1240.62,Developing
8286,social_media,Regular,182,8,10737.56,Developing
6282,marketplace,VIP,371,4,6908.74,Dormant
4029,direct,New,251,7,6574.81,Developing
8924,marketplace,Regular,6,7,6734.12,Champions
4276,organic_search,At Risk,52,7,5200.16,Champions
767,marketplace,Regular,167,4,4794.24,Developing
1360,paid_search,At Risk,182,5,6751.00,Developing
2251,organic_search,Regular,213,3,4208.59,Developing
4726,paid_search,New,97,7,6759.12,Loyal
3550,referral,Wholesale,126,6,6964.17,Developing
4697,email,New,23,7,3432.02,Champions
9086,marketplace,Regular,255,6,5423.80,Developing
8850,direct,New,125,6,3553.08,Developing
6309,marketplace,Regular,227,6,6431.20,Developing
5044,affiliate,Regular,59,6,5472.45,Champions
1652,social_media,New,80,7,5852.19,Loyal
5185,direct,New,29,8,11312.63,Champions
6970,direct,Regular,42,8,8614.33,Champions
6176,referral,VIP,223,4,1957.65,Developing
1293,referral,VIP,215,4,6537.92,Developing
4340,marketplace,At Risk,2,4,2996.44,Loyal
5607,social_media,VIP,538,4,2710.51,Dormant
2831,social_media,Regular,676,6,2158.98,Dormant
2692,affiliate,New,71,6,6672.53,Loyal
5331,organic_search,New,12,5,4133.38,Champions
8126,direct,Regular,103,2,2109.29,Developing
4926,email,Wholesale,113,4,4309.19,Loyal
8374,email,VIP,676,2,3033.36,Dormant
8337,paid_search,Regular,359,6,5705.39,Developing
9604,organic_search,New,374,5,6473.50,Dormant
343,organic_search,Regular,453,4,6131.30,Dormant
9044,paid_search,At Risk,39,3,8054.01,Loyal
7681,organic_search,At Risk,15,6,9804.48,Champions
3551,referral,At Risk,68,4,5667.27,Loyal
5022,direct,At Risk,239,3,1617.75,Developing
5332,paid_search,Regular,656,3,6923.21,Dormant
6690,organic_search,New,237,5,7779.31,Developing
7673,paid_search,Regular,34,3,1812.58,Loyal
677,organic_search,At Risk,328,4,4881.32,Developing
3882,marketplace,Regular,359,4,955.98,Developing
863,paid_search,Regular,91,5,4206.62,Loyal
921,paid_search,Regular,946,1,329.65,Dormant
2636,email,Regular,283,4,2089.32,Developing
3253,organic_search,At Risk,81,5,6012.04,Loyal
930,referral,VIP,142,5,5718.76,Developing
9,paid_search,Regular,469,6,6217.81,Dormant
3004,paid_search,Regular,128,6,4184.36,Developing
3973,social_media,VIP,179,4,3045.62,Developing
6004,social_media,New,32,8,8392.44,Champions
1876,affiliate,New,231,5,6377.13,Developing
3563,direct,Wholesale,367,4,3241.92,Dormant
70,affiliate,Regular,58,5,2810.42,Champions
9870,email,New,320,4,3889.26,Developing
3728,email,Regular,89,5,7590.23,Loyal
8827,email,At Risk,64,4,4706.28,Loyal
3098,paid_search,New,369,6,3475.36,Dormant
9270,organic_search,Regular,277,5,7008.70,Developing
2248,referral,Regular,357,5,1421.19,Developing
4532,email,At Risk,75,5,5435.61,Loyal
9578,email,New,265,2,636.79,Developing
6767,direct,Regular,21,7,5067.60,Champions
2032,paid_search,Regular,130,5,7563.08,Developing
7688,paid_search,Regular,48,6,5395.97,Champions
6327,affiliate,Regular,598,3,4518.32,Dormant
957,organic_search,Regular,122,7,6482.21,Developing
729,paid_search,New,216,9,9548.34,Developing
9033,social_media,Regular,265,3,3039.15,Developing
4658,email,VIP,5,5,5699.37,Champions
9166,social_media,New,160,7,6956.26,Developing
7655,affiliate,Wholesale,452,1,401.53,Dormant
6723,email,Regular,294,5,5343.15,Developing
3014,social_media,Regular,282,5,13282.20,Developing
6260,social_media,VIP,53,6,6718.67,Champions
4277,email,Regular,63,5,6395.93,Loyal
2490,direct,New,158,6,5608.18,Developing
3640,email,Wholesale,60,10,5065.76,Champions
9902,affiliate,Regular,315,3,2873.22,Developing
7596,paid_search,New,565,4,5115.17,Dormant
4088,referral,VIP,358,7,9010.84,Developing
2191,affiliate,At Risk,45,8,6073.38,Champions
2638,social_media,Wholesale,372,6,6219.85,Dormant
5912,marketplace,Regular,16,3,2500.06,Loyal
7652,direct,At Risk,48,7,8762.78,Champions
1078,direct,At Risk,100,7,6573.93,Loyal
3068,social_media,New,194,6,10132.86,Developing
4805,email,Regular,95,4,2174.65,Loyal
236,marketplace,New,398,4,2265.70,Dormant
5107,organic_search,Regular,148,4,2472.80,Developing
2073,direct,Regular,76,8,10714.13,Loyal
4939,referral,At Risk,16,6,6394.76,Champions
6836,marketplace,New,51,6,6399.36,Champions
6433,referral,Regular,463,4,8491.35,Dormant
2142,social_media,Regular,365,7,13074.23,Developing
2391,social_media,VIP,175,8,5776.06,Developing
2383,affiliate,At Risk,97,5,1844.55,Loyal
3000,referral,Regular,196,5,2839.25,Developing
5425,referral,VIP,37,6,9388.04,Champions
1971,referral,New,66,5,5067.84,Loyal
2487,marketplace,Regular,115,4,4807.40,Loyal
8022,email,New,112,6,10107.19,Loyal
1991,paid_search,Regular,68,8,3402.96,Loyal
7388,marketplace,At Risk,60,5,6947.20,Champions
88,referral,Regular,93,7,5884.72,Loyal
2713,affiliate,New,345,3,1112.69,Developing
5145,affiliate,New,96,5,5353.48,Loyal
2933,paid_search,New,62,7,9670.55,Loyal
9377,email,New,104,4,2999.85,Loyal
6668,marketplace,New,27,5,5364.28,Champions
170,email,Regular,173,5,2914.64,Developing
491,organic_search,Regular,363,6,9429.41,Developing
3103,referral,Regular,219,2,1033.33,Developing
1393,direct,New,664,2,1526.70,Dormant
6230,organic_search,Regular,462,6,7380.82,Dormant
1711,email,At Risk,382,4,4761.14,Dormant
695,paid_search,New,3,4,2241.79,Loyal
3017,email,New,200,7,6849.20,Developing
6043,social_media,Wholesale,13,5,3270.48,Champions
3212,marketplace,New,28,4,2035.67,Loyal
8671,marketplace,Regular,38,11,11471.04,Champions
2481,direct,New,131,5,7268.63,Developing
6087,organic_search,Regular,350,8,8747.98,Developing
3653,referral,At Risk,47,2,2185.52,Developing
3466,referral,New,209,7,10156.81,Developing
1729,affiliate,Regular,14,5,2605.11,Champions
9275,direct,New,260,5,6437.98,Developing
1907,referral,Regular,740,3,2640.80,Dormant
4619,paid_search,New,88,9,9717.69,Loyal
8730,social_media,Regular,5,9,6697.65,Champions
835,email,New,261,7,9137.94,Developing
5981,marketplace,Regular,300,6,4010.86,Developing
8870,marketplace,New,637,3,5693.10,Dormant
4963,social_media,Regular,253,5,3966.74,Developing
8414,social_media,Regular,402,5,3692.04,Dormant
4361,referral,New,120,6,7560.60,Loyal
4736,direct,New,160,4,1442.71,Developing
9779,email,Regular,102,5,5887.43,Loyal
6030,direct,Regular,228,5,2732.99,Developing
4495,paid_search,New,819,4,4899.14,Dormant
2249,marketplace,Regular,212,3,2753.12,Developing
5423,direct,New,157,6,8045.12,Developing
8458,direct,Regular,217,7,7699.08,Developing
8017,email,New,148,6,2691.40,Developing
7670,referral,Wholesale,174,4,1537.36,Developing
7741,organic_search,Regular,92,6,6352.85,Loyal
8624,paid_search,Regular,156,4,2258.67,Developing
3349,paid_search,Regular,714,4,2729.46,Dormant
9587,referral,VIP,41,6,5095.25,Champions
757,organic_search,New,46,6,7455.94,Champions
9138,marketplace,New,232,6,7802.34,Developing
9927,email,New,125,5,6435.66,Developing
3105,email,New,274,5,3605.72,Developing
2714,email,Regular,58,2,1378.37,Developing
5204,paid_search,New,385,6,5283.17,Dormant
8459,social_media,New,77,5,9399.77,Loyal
1117,marketplace,Wholesale,80,6,2411.45,Loyal
4778,marketplace,New,158,4,3576.73,Developing
2317,organic_search,Regular,510,5,5686.68,Dormant
7990,email,At Risk,33,5,9471.68,Champions
3193,email,New,86,6,3896.97,Loyal
9658,organic_search,New,63,6,6113.88,Loyal
1374,social_media,New,49,6,4569.62,Champions
4563,referral,Regular,114,7,7047.07,Loyal
8904,marketplace,Regular,52,8,5405.18,Champions
3830,affiliate,Wholesale,107,3,6026.67,Loyal
9343,referral,New,189,9,8649.62,Developing
5715,social_media,Regular,38,3,3834.78,Loyal
452,social_media,New,439,3,2005.30,Dormant
5367,affiliate,VIP,28,6,7143.12,Champions
9330,direct,At Risk,24,9,9733.36,Champions
404,affiliate,Regular,63,9,12523.29,Loyal
804,referral,New,33,5,3621.32,Champions
4464,affiliate,New,965,1,1181.73,Dormant
2776,email,At Risk,65,5,6071.80,Loyal
2786,referral,New,142,7,4309.51,Developing
4335,marketplace,Regular,999,1,1699.43,Dormant
7040,direct,New,187,6,4607.75,Developing
7461,referral,At Risk,320,4,2815.32,Developing
4486,direct,VIP,92,7,11887.33,Loyal
4580,organic_search,Regular,306,2,2131.31,Developing
7199,affiliate,New,188,5,4326.56,Developing
9214,paid_search,Regular,162,5,4665.71,Developing
2049,direct,New,17,7,4441.45,Champions
2472,social_media,Regular,88,9,5847.61,Loyal
2277,paid_search,Regular,152,3,1258.23,Developing
223,marketplace,Wholesale,76,5,4599.51,Loyal
3431,referral,Wholesale,139,7,7478.51,Developing
133,direct,Regular,217,5,6996.44,Developing
6849,email,Regular,637,3,3628.57,Dormant
4357,marketplace,Regular,14,5,4201.49,Champions
1348,referral,New,254,5,5305.70,Developing
2370,paid_search,New,5,5,1907.83,Champions
1174,direct,At Risk,6,9,8648.28,Champions
1349,affiliate,VIP,166,2,2273.65,Developing
1804,paid_search,Regular,84,9,11841.95,Loyal
5115,email,Regular,137,1,245.07,Developing
3242,marketplace,At Risk,392,4,6865.49,Dormant
9679,social_media,Wholesale,2,7,10963.88,Champions
8282,social_media,Wholesale,88,4,4811.06,Loyal
6834,marketplace,At Risk,32,8,6061.70,Champions
9384,email,New,279,4,2469.77,Developing
7921,affiliate,Regular,81,3,2278.23,Loyal
7948,direct,Regular,399,3,1385.79,Dormant
330,paid_search,Regular,279,3,2649.98,Developing
2102,social_media,At Risk,221,4,5425.20,Developing
8301,marketplace,New,95,7,6281.55,Loyal
8314,affiliate,Regular,680,3,7632.88,Dormant
5152,organic_search,At Risk,124,4,3290.27,Developing
6769,social_media,Regular,262,12,8713.51,Developing
8227,affiliate,Regular,91,6,3067.84,Loyal
4011,referral,New,457,3,3236.94,Dormant
9707,organic_search,At Risk,150,7,11011.61,Developing
3836,referral,Regular,588,2,6206.00,Dormant
1445,social_media,At Risk,31,3,4250.33,Loyal
8781,marketplace,Regular,219,6,7582.44,Developing
1197,email,New,112,6,9676.25,Loyal
2522,direct,New,43,8,9871.35,Champions
3449,social_media,VIP,120,5,4499.26,Loyal
3993,paid_search,VIP,157,4,4552.23,Developing
561,social_media,New,139,7,3896.99,Developing
3690,affiliate,New,63,7,6562.82,Loyal
9417,email,New,70,8,7223.14,Loyal
7296,organic_search,New,612,1,797.35,Dormant
5573,affiliate,New,62,12,8949.14,Loyal
579,social_media,Wholesale,29,5,2461.57,Champions
2780,social_media,VIP,86,4,6465.21,Loyal
1098,direct,Regular,138,5,3019.50,Developing
4545,marketplace,Regular,132,6,4258.74,Developing
5889,marketplace,Regular,17,12,10511.87,Champions
624,affiliate,New,63,6,8191.13,Loyal
487,direct,New,825,4,5054.22,Dormant
606,social_media,New,22,4,2061.20,Loyal
1334,marketplace,Regular,206,6,3296.89,Developing
656,referral,At Risk,41,4,8684.28,Loyal
5286,paid_search,New,23,8,5959.87,Champions
435,paid_search,New,595,4,4657.38,Dormant
5614,organic_search,Regular,189,10,17290.54,Developing
7379,social_media,Regular,25,5,3340.88,Champions
9980,organic_search,Regular,374,4,2439.39,Dormant
962,affiliate,New,4,6,5192.46,Champions
1456,direct,New,300,3,2243.24,Developing
6936,organic_search,Regular,101,7,7336.05,Loyal
3593,direct,New,234,5,4428.49,Developing
3979,referral,Regular,511,3,2219.05,Dormant
4328,paid_search,New,179,6,6552.93,Developing
1154,organic_search,Regular,47,5,6032.61,Champions
4388,affiliate,New,171,6,4721.64,Developing
4430,direct,New,231,6,4421.62,Developing
3182,organic_search,Wholesale,25,7,6329.04,Champions
96,referral,New,10,4,2684.54,Loyal
5551,direct,Regular,294,4,2934.97,Developing
4626,social_media,New,84,6,5504.35,Loyal
7460,organic_search,Regular,56,7,12565.36,Champions
484,marketplace,New,352,2,1115.38,Developing
668,affiliate,New,576,4,4393.32,Dormant
1680,marketplace,Regular,427,3,1668.81,Dormant
2403,affiliate,New,60,9,9713.45,Champions
5790,paid_search,New,27,5,8877.59,Champions
3751,paid_search,VIP,6,4,7289.11,Loyal
1841,social_media,Regular,16,3,3120.16,Loyal
3067,direct,Wholesale,259,4,2249.89,Developing
9886,social_media,Regular,51,9,6643.89,Champions
830,paid_search,At Risk,470,6,6415.62,Dormant
7330,organic_search,New,248,6,8817.57,Developing
7433,affiliate,Regular,58,4,3527.55,Loyal
1302,referral,Wholesale,232,4,3801.77,Developing
9893,email,VIP,1,6,5735.72,Champions
3832,email,VIP,30,5,2470.39,Champions
9847,affiliate,At Risk,560,5,9460.07,Dormant
4903,direct,Regular,339,4,2379.02,Developing
5213,email,Regular,25,4,1919.71,Loyal
7769,direct,At Risk,248,4,5511.70,Developing
2050,direct,Regular,317,5,5764.13,Developing
7160,direct,Regular,149,6,6351.86,Developing
3656,affiliate,Regular,170,5,3893.53,Developing
3552,email,New,485,5,8369.52,Dormant
9469,referral,Regular,62,8,9439.16,Loyal
8614,affiliate,New,314,6,8489.01,Developing
861,referral,New,8,4,4136.92,Loyal
57,affiliate,Regular,59,5,8390.97,Champions
824,social_media,VIP,38,4,4500.55,Loyal
6663,social_media,Regular,241,3,1504.30,Developing
8929,direct,New,135,6,6694.57,Developing
163,social_media,New,91,6,3413.81,Loyal
9126,social_media,Wholesale,290,8,8834.66,Developing
7403,organic_search,New,118,5,3670.67,Loyal
5469,referral,New,871,2,1420.80,Dormant
8192,email,New,242,5,7988.56,Developing
3873,referral,New,36,5,5133.54,Champions
8702,paid_search,New,4,7,7786.29,Champions
9400,email,New,2,8,8760.14,Champions
814,affiliate,New,342,3,1090.17,Developing
4600,marketplace,New,469,3,2463.35,Dormant
3072,direct,New,309,2,2397.91,Developing
8279,referral,At Risk,140,3,4138.39,Developing
5849,affiliate,Regular,261,6,8007.43,Developing
1869,social_media,Wholesale,32,4,4369.66,Loyal
8047,organic_search,New,155,7,8064.41,Developing
7722,marketplace,New,116,11,6016.26,Loyal
6969,direct,New,637,2,745.43,Dormant
108,organic_search,At Risk,520,5,3249.27,Dormant
1648,referral,Regular,161,4,3252.59,Developing
9428,email,Regular,74,6,4963.24,Loyal
3752,paid_search,Regular,275,3,860.49,Developing
351,paid_search,New,352,2,1464.72,Developing
3838,direct,New,565,4,3936.03,Dormant
4435,affiliate,At Risk,217,8,6726.69,Developing
5613,affiliate,New,271,9,6932.29,Developing
8705,paid_search,New,291,3,4768.08,Developing
4798,organic_search,Wholesale,118,4,1781.64,Loyal
2849,referral,Wholesale,401,3,3276.48,Dormant
4605,paid_search,Regular,182,6,4414.46,Developing
1847,referral,New,419,3,2292.84,Dormant
78,paid_search,New,282,4,4409.25,Developing
4416,referral,VIP,148,7,10270.35,Developing
8228,email,Regular,152,6,2964.71,Developing
7969,referral,Regular,65,10,6885.95,Loyal
3603,referral,New,247,5,3528.87,Developing
8224,direct,Regular,231,5,7999.46,Developing
2469,referral,At Risk,672,2,4023.69,Dormant
5324,organic_search,VIP,167,4,4156.28,Developing
1030,organic_search,Regular,85,4,3009.53,Loyal
9357,referral,Regular,275,6,8231.21,Developing
185,direct,Regular,26,4,3272.70,Loyal
568,email,New,86,5,788.24,Loyal
2001,marketplace,New,25,6,8026.78,Champions
5182,social_media,New,272,6,8042.71,Developing
1430,referral,New,183,6,8409.09,Developing
4258,email,New,68,5,3019.72,Loyal
8133,affiliate,New,1000,2,2110.12,Dormant
3364,social_media,Regular,285,5,3493.06,Developing
4207,email,VIP,38,9,12431.81,Champions
1529,organic_search,Regular,101,4,2459.65,Loyal
7677,marketplace,New,101,7,7461.40,Loyal
8322,email,New,396,5,4378.41,Dormant
7768,social_media,Wholesale,28,4,2934.62,Loyal
6966,affiliate,New,251,8,7487.12,Developing
1735,direct,Regular,458,4,4520.55,Dormant
816,marketplace,At Risk,203,4,2450.04,Developing
7923,affiliate,New,78,4,5764.67,Loyal
3878,social_media,Regular,535,5,4522.48,Dormant
4237,email,Regular,94,2,1441.95,Developing
9473,organic_search,New,258,4,1755.87,Developing
3366,social_media,New,430,4,10644.49,Dormant
8473,affiliate,New,448,4,3733.99,Dormant
7766,organic_search,Regular,209,3,1897.47,Developing
9904,referral,New,6,6,6692.30,Champions
9028,referral,Regular,266,6,4773.37,Developing
1081,social_media,Regular,606,2,1421.43,Dormant
6832,organic_search,Regular,269,6,8585.72,Developing
2559,direct,VIP,46,5,7389.78,Champions
6854,marketplace,Regular,221,5,5484.82,Developing
5996,organic_search,Wholesale,648,2,1378.96,Dormant
778,marketplace,Regular,106,5,3277.38,Loyal
9569,referral,New,210,2,740.50,Developing
7303,marketplace,Regular,292,4,5312.88,Developing
9979,direct,New,812,4,4061.46,Dormant
61,paid_search,Regular,26,5,6022.17,Champions
1602,referral,Regular,50,7,4273.54,Champions
9458,marketplace,New,30,4,4493.32,Loyal
5073,paid_search,Wholesale,54,6,4994.45,Champions
4791,marketplace,At Risk,91,3,2834.39,Loyal
2412,marketplace,Regular,9,7,7627.39,Champions
9092,email,New,437,6,5708.34,Dormant
6301,social_media,Regular,168,6,5227.36,Developing
268,organic_search,New,51,6,3281.23,Champions
5045,direct,At Risk,217,5,1778.65,Developing
4257,direct,VIP,24,6,4399.81,Champions
2144,referral,Wholesale,109,7,4705.11,Loyal
1754,email,New,79,7,4015.91,Loyal
2983,email,New,83,4,6399.09,Loyal
7827,marketplace,Regular,384,3,3952.96,Dormant
918,marketplace,New,578,4,898.69,Dormant
4487,direct,Regular,38,9,11701.84,Champions
2740,affiliate,New,314,3,1817.45,Developing
5886,affiliate,VIP,102,11,9494.73,Loyal
5694,social_media,Regular,117,4,3820.44,Loyal
8442,direct,Regular,296,2,2179.69,Developing
5976,direct,At Risk,261,4,7159.84,Developing
7053,direct,Regular,40,8,5150.50,Champions
847,paid_search,Regular,68,2,3869.35,Developing
5665,marketplace,Regular,174,4,4947.23,Developing
2758,email,New,18,3,2974.18,Loyal
2799,email,New,319,4,2853.86,Developing
3834,marketplace,Regular,387,4,5614.56,Dormant
5191,organic_search,New,6,7,3670.93,Champions
3778,email,Regular,25,5,4743.86,Champions
3471,referral,New,256,4,4805.50,Developing
7971,referral,New,131,7,3436.78,Developing
1045,affiliate,New,267,6,7208.91,Developing
1484,organic_search,At Risk,491,5,3866.52,Dormant
7883,social_media,New,179,7,6213.65,Developing
724,marketplace,Regular,107,8,4772.92,Loyal
6110,marketplace,Regular,31,5,4700.45,Champions
7116,social_media,VIP,348,5,2374.14,Developing
9584,paid_search,New,143,5,4394.55,Developing
6762,social_media,At Risk,69,4,2115.44,Loyal
9117,marketplace,Regular,90,7,6058.33,Loyal
3954,referral,Regular,29,8,7163.11,Champions
8638,social_media,Regular,130,3,4105.57,Developing
7202,organic_search,Wholesale,22,7,5998.91,Champions
8334,email,Regular,281,6,2255.36,Developing
8238,paid_search,Regular,250,4,1314.20,Developing
4886,social_media,VIP,220,6,7741.94,Developing
3118,social_media,New,355,6,3928.24,Developing
6360,affiliate,New,403,8,7151.30,Dormant
4142,referral,Regular,591,5,2562.86,Dormant
6664,social_media,Regular,210,4,3746.61,Developing
1250,email,New,28,6,7421.39,Champions
1373,marketplace,New,398,4,1970.61,Dormant
1126,marketplace,Wholesale,87,3,4011.35,Loyal
8776,email,New,127,7,8089.35,Developing
1535,direct,VIP,378,4,3948.15,Dormant
2244,organic_search,Regular,356,3,2874.00,Developing
5664,email,Regular,110,3,5595.30,Loyal
8425,social_media,New,210,5,5222.17,Developing
2702,social_media,New,121,5,4952.79,Developing
2492,referral,At Risk,23,6,4448.60,Champions
8432,organic_search,At Risk,45,8,3827.10,Champions
6621,social_media,At Risk,344,3,897.04,Developing
6996,marketplace,At Risk,275,4,1537.74,Developing
1104,referral,At Risk,548,4,5845.30,Dormant
6419,email,New,95,7,5287.84,Loyal
2779,organic_search,Regular,64,7,6880.48,Loyal
2381,referral,Regular,41,6,6116.65,Champions
1251,organic_search,New,508,3,4221.75,Dormant
6285,direct,Regular,1,7,11585.41,Champions
7940,direct,New,770,2,1022.65,Dormant
127,affiliate,Regular,106,6,6373.65,Loyal
7646,paid_search,Regular,255,5,7134.87,Developing
9970,marketplace,At Risk,20,8,6898.20,Champions
6564,referral,At Risk,57,6,5377.97,Champions
1272,marketplace,Wholesale,653,2,484.27,Dormant
2140,direct,VIP,121,7,11163.50,Developing
1049,marketplace,New,596,8,5138.76,Dormant
4831,direct,New,69,5,7525.03,Loyal
2027,referral,Regular,24,7,5017.80,Champions
7878,organic_search,Regular,340,5,2178.35,Developing
1675,marketplace,New,104,3,1369.33,Loyal
7362,marketplace,Regular,60,9,7936.17,Champions
7249,affiliate,Wholesale,20,4,3069.03,Loyal
1802,paid_search,New,296,3,1886.85,Developing
1870,email,Regular,1,7,14389.99,Champions
4542,affiliate,Regular,90,3,4565.62,Loyal
7144,referral,At Risk,95,4,4277.24,Loyal
7586,direct,Regular,208,4,3417.97,Developing
6842,referral,Regular,76,6,10162.37,Loyal
575,referral,Regular,63,4,4723.75,Loyal
6617,social_media,Regular,22,4,2255.59,Loyal
1909,email,At Risk,69,8,8038.11,Loyal
7540,paid_search,New,12,6,7206.15,Champions
9201,affiliate,Regular,114,3,4375.76,Loyal
110,direct,Regular,190,3,6431.95,Developing
2663,organic_search,At Risk,241,7,4452.73,Developing
9660,organic_search,Regular,321,5,3601.07,Developing
2355,paid_search,Regular,325,4,2477.61,Developing
3297,email,New,245,3,1576.40,Developing
7440,marketplace,New,140,7,2866.27,Developing
6321,email,Regular,50,5,8615.11,Champions
3045,referral,Regular,171,8,10620.98,Developing
4846,affiliate,Regular,102,6,6422.01,Loyal
1202,email,Regular,101,3,3339.48,Loyal
8369,direct,Regular,14,6,3224.00,Champions
6147,social_media,New,47,6,6130.65,Champions
9907,direct,Regular,13,7,2306.20,Champions
551,referral,New,135,5,2693.70,Developing
7451,direct,Regular,566,5,4444.40,Dormant
9005,marketplace,At Risk,135,3,2606.88,Developing
7927,email,Regular,261,6,5846.90,Developing
7663,marketplace,New,154,4,3370.86,Developing
3496,paid_search,Regular,153,5,4527.88,Developing
8591,organic_search,New,20,6,4065.30,Champions
1668,marketplace,Regular,78,11,13739.81,Loyal
4747,paid_search,VIP,183,4,4320.28,Developing
4651,social_media,Regular,125,7,8831.49,Developing
4102,email,At Risk,988,2,2708.25,Dormant
4287,marketplace,At Risk,49,6,5047.62,Champions
8965,email,New,103,5,2107.68,Loyal
2238,marketplace,At Risk,135,3,2861.12,Developing
