payment_id,order_id,payment_method,payment_status,amount,payment_datetime
169,169,paypal,paid,2374.73,2023-03-22 02:41:42
170,170,gift_card,paid,4262.95,2025-05-09 12:29:49
171,171,google_pay,paid,726.26,2024-08-04 09:20:50
172,172,credit_card,paid,2109.87,2023-09-12 09:26:07
173,173,paypal,failed,0.00,2025-02-25 16:21:09
174,174,gift_card,partially_refunded,116.30,2024-08-15 17:10:09
175,175,apple_pay,paid,1558.33,2023-10-25 22:01:00
176,176,bank_transfer,paid,329.65,2023-05-31 22:28:45
177,177,google_pay,refunded,283.56,2023-02-27 00:24:23
178,178,paypal,paid,265.21,2023-08-19 23:23:41
179,179,gift_card,paid,951.34,2024-09-18 06:42:15
180,180,bank_transfer,paid,1309.19,2024-01-17 22:46:36
181,181,credit_card,paid,2091.87,2023-12-22 22:36:48
182,182,bank_transfer,paid,22.69,2024-10-27 00:28:21
183,183,credit_card,paid,390.28,2025-06-14 08:29:48
184,184,bank_transfer,paid,2206.11,2023-05-03 05:06:01
185,185,google_pay,paid,2755.12,2023-11-16 01:46:41
186,186,apple_pay,paid,58.58,2024-12-31 04:18:28
187,187,paypal,paid,706.76,2024-07-24 01:22:31
188,188,gift_card,paid,809.24,2024-09-24 00:09:09
189,189,paypal,paid,669.58,2024-04-13 12:35:17
190,190,credit_card,paid,550.43,2024-12-23 11:17:28
191,191,gift_card,paid,1608.80,2024-10-12 12:50:13
192,192,google_pay,paid,2224.85,2023-04-07 23:20:53
193,193,paypal,paid,340.88,2023-04-23 03:18:47
194,194,apple_pay,failed,0.00,2025-01-06 02:38:00
195,195,bank_transfer,paid,571.21,2024-10-31 15:22:55
196,196,credit_card,paid,1726.68,2025-12-11 13:59:38
197,197,apple_pay,failed,0.00,2024-07-06 05:54:16
198,198,bank_transfer,paid,838.13,2024-12-05 11:49:25
199,199,gift_card,paid,594.63,2024-02-11 18:50:41
200,200,bank_transfer,refunded,582.60,2023-06-20 22:19:35
201,201,bank_transfer,paid,458.48,2025-11-14 20:03:29
202,202,bank_transfer,refunded,2500.43,2023-01-09 15:55:21
203,203,gift_card,paid,779.63,2024-05-13 23:42:47
204,204,bank_transfer,paid,2086.26,2024-04-26 13:00:39
205,205,gift_card,paid,721.72,2024-02-25 22:32:11
206,206,gift_card,paid,13.88,2025-04-12 07:29:34
207,207,bank_transfer,paid,3244.37,2024-04-03 11:08:07
208,208,apple_pay,failed,0.00,2023-10-06 02:03:18
209,209,bank_transfer,paid,107.43,2023-12-06 21:51:43
210,210,bank_transfer,paid,401.53,2024-10-07 07:57:04
211,211,paypal,paid,370.99,2023-02-09 22:42:19
212,212,paypal,paid,2884.23,2025-03-25 22:40:55
213,213,apple_pay,partially_refunded,108.43,2025-07-26 12:18:24
214,214,paypal,paid,2024.75,2025-05-15 12:39:21
215,215,google_pay,paid,1281.21,2025-10-31 19:37:40
216,216,google_pay,paid,341.03,2023-06-10 23:12:32
217,217,gift_card,paid,315.75,2025-11-02 17:25:26
218,218,paypal,paid,1395.14,2025-02-20 19:41:59
219,219,apple_pay,paid,1696.24,2024-06-15 21:42:15
220,220,credit_card,paid,145.54,2023-01-04 11:19:24
221,221,paypal,paid,613.20,2023-10-16 00:41:22
222,222,credit_card,refunded,2857.99,2024-04-14 17:27:57
223,223,paypal,paid,498.57,2024-09-10 01:35:42
224,224,credit_card,paid,434.01,2025-09-21 20:24:41
225,225,bank_transfer,paid,258.51,2024-09-23 19:17:38
226,226,gift_card,paid,113.05,2023-06-21 20:57:18
227,227,credit_card,paid,2119.15,2025-06-21 23:36:16
228,228,google_pay,paid,941.53,2023-10-26 01:49:05
229,229,google_pay,paid,451.25,2024-11-30 18:46:04
230,230,google_pay,partially_refunded,475.05,2024-09-06 08:04:01
231,231,gift_card,paid,971.21,2025-08-06 19:01:30
232,232,google_pay,paid,3088.78,2023-12-06 18:53:04
233,233,gift_card,paid,43.29,2024-06-28 02:04:27
234,234,google_pay,paid,700.72,2023-01-23 17:14:20
235,235,bank_transfer,paid,2237.71,2024-09-26 04:18:50
236,236,paypal,paid,673.37,2023-12-07 02:20:42
237,237,apple_pay,paid,167.80,2023-06-12 13:20:54
238,238,credit_card,authorized,1259.10,2024-12-28 16:16:07
239,239,bank_transfer,paid,570.53,2025-04-24 01:31:03
240,240,apple_pay,paid,1221.31,2024-11-05 22:07:41
241,241,credit_card,paid,988.43,2023-10-28 13:36:02
242,242,paypal,partially_refunded,2521.16,2024-09-22 09:15:36
243,243,credit_card,paid,904.91,2024-08-03 18:44:05
244,244,bank_transfer,paid,3670.67,2023-11-03 06:26:41
245,245,gift_card,paid,1118.47,2025-02-25 03:18:33
246,246,google_pay,paid,875.02,2023-04-07 19:35:31
247,247,credit_card,paid,3089.55,2024-10-01 12:23:36
248,248,gift_card,paid,838.38,2025-02-11 03:57:02
249,249,apple_pay,paid,285.39,2024-01-16 15:49:42
250,250,paypal,paid,1239.83,2025-09-27 20:38:33
251,251,credit_card,paid,36.37,2024-09-11 07:22:35
252,252,credit_card,paid,1280.90,2025-02-24 14:30:55
253,253,credit_card,paid,34.85,2025-05-14 18:25:22
254,254,gift_card,paid,125.95,2023-07-22 09:08:48
255,255,google_pay,paid,179.33,2023-06-05 18:47:43
256,256,gift_card,paid,784.32,2025-05-27 23:24:18
257,257,credit_card,paid,995.36,2023-05-21 01:27:00
258,258,apple_pay,paid,695.39,2023-01-26 20:53:47
259,259,gift_card,paid,2644.78,2023-06-09 19:12:16
260,260,credit_card,paid,628.71,2024-12-23 15:46:50
261,261,apple_pay,authorized,1301.60,2025-10-25 06:22:17
262,262,bank_transfer,paid,2609.26,2024-05-22 05:58:49
263,263,credit_card,partially_refunded,499.70,2023-02-09 06:45:35
264,264,bank_transfer,paid,308.13,2023-04-24 05:38:26
265,265,bank_transfer,paid,103.82,2025-06-20 19:52:22
266,266,credit_card,paid,319.58,2025-01-04 18:23:42
267,267,credit_card,paid,1419.81,2023-02-15 18:42:21
268,268,bank_transfer,paid,553.90,2025-01-17 05:37:16
269,269,bank_transfer,partially_refunded,1421.51,2025-10-15 00:02:23
270,270,gift_card,partially_refunded,517.55,2024-12-31 10:37:02
271,271,bank_transfer,paid,1031.61,2023-11-08 03:25:44
272,272,gift_card,partially_refunded,2372.62,2023-08-31 09:04:32
273,273,bank_transfer,paid,260.01,2025-12-18 17:00:02
274,274,google_pay,paid,1314.08,2023-12-30 01:49:52
275,275,google_pay,refunded,1210.55,2023-07-10 01:36:00
276,276,paypal,paid,571.26,2024-01-20 17:26:48
277,277,apple_pay,paid,1421.05,2023-05-25 10:28:10
278,278,paypal,paid,827.55,2024-06-07 12:02:45
279,279,google_pay,paid,175.49,2024-09-22 14:25:57
280,280,credit_card,paid,2082.56,2023-09-21 02:57:30
281,281,gift_card,refunded,53.60,2024-06-09 14:52:11
282,282,gift_card,paid,899.00,2024-09-13 02:56:28
283,283,credit_card,paid,616.52,2024-02-11 07:44:24
284,284,google_pay,paid,973.88,2024-02-25 05:24:39
285,285,credit_card,paid,448.59,2023-09-27 04:07:40
286,286,credit_card,paid,1544.56,2025-09-21 18:20:54
287,287,bank_transfer,paid,297.22,2025-05-19 00:25:23
288,288,gift_card,paid,2537.23,2023-04-09 08:39:23
289,289,gift_card,paid,433.72,2024-08-26 16:34:22
290,290,google_pay,paid,370.29,2023-09-27 16:49:39
291,291,bank_transfer,paid,879.02,2025-05-29 22:59:02
292,292,credit_card,paid,295.56,2025-08-07 16:26:25
293,293,apple_pay,paid,624.22,2025-07-11 20:53:00
294,294,paypal,paid,701.77,2025-10-02 10:29:26
295,295,credit_card,refunded,2940.59,2023-04-08 17:02:41
296,296,bank_transfer,paid,155.50,2025-07-29 19:01:15
297,297,gift_card,paid,1179.63,2024-01-18 19:35:11
298,298,gift_card,paid,96.69,2025-04-16 00:26:20
299,299,bank_transfer,paid,2337.22,2025-09-07 04:40:02
300,300,google_pay,paid,976.65,2025-05-14 21:49:28
301,301,credit_card,paid,1070.82,2024-03-10 11:04:03
302,302,credit_card,paid,426.91,2023-10-25 04:40:08
303,303,apple_pay,paid,752.77,2023-03-01 12:01:06
304,304,gift_card,paid,1964.62,2024-07-19 10:21:00
305,305,google_pay,paid,3501.73,2025-10-17 00:08:49
306,306,paypal,paid,491.31,2025-03-07 14:55:59
307,307,apple_pay,paid,117.00,2024-12-25 13:24:56
308,308,google_pay,paid,2511.55,2024-04-12 05:42:30
309,309,apple_pay,paid,4091.10,2025-11-29 11:21:31
310,310,apple_pay,partially_refunded,32.63,2024-03-23 05:32:07
311,311,credit_card,paid,685.95,2024-10-26 04:35:46
312,312,credit_card,failed,0.00,2025-06-14 16:59:29
313,313,bank_transfer,authorized,383.16,2025-11-02 00:43:53
314,314,paypal,paid,1591.82,2024-05-09 06:15:23
315,315,google_pay,partially_refunded,752.09,2023-06-08 18:07:00
316,316,paypal,paid,120.61,2024-01-04 13:09:52
317,317,bank_transfer,paid,1876.60,2025-09-17 04:57:05
318,318,credit_card,paid,271.99,2024-08-29 21:05:13
319,319,apple_pay,failed,0.00,2023-03-14 18:32:51
320,320,gift_card,paid,1328.10,2025-10-11 15:36:34
321,321,credit_card,refunded,95.40,2025-03-22 23:08:16
322,322,google_pay,paid,118.31,2024-10-19 23:02:48
323,323,google_pay,paid,2836.06,2023-09-11 13:03:01
324,324,google_pay,paid,553.68,2025-12-09 15:55:48
325,325,google_pay,paid,536.64,2023-01-24 05:13:52
326,326,paypal,paid,625.21,2024-08-21 06:22:34
327,327,apple_pay,paid,1181.73,2023-05-12 12:05:49
328,328,bank_transfer,paid,1900.37,2025-10-29 05:32:53
329,329,credit_card,paid,953.69,2023-04-29 08:08:19
330,330,credit_card,paid,1699.43,2023-04-09 10:47:13
331,331,apple_pay,paid,494.64,2023-12-27 14:52:46
332,332,apple_pay,paid,184.22,2025-02-15 19:21:45
333,333,apple_pay,paid,1428.06,2024-08-09 18:55:48
334,334,bank_transfer,paid,1605.41,2025-03-02 13:56:39
335,335,apple_pay,paid,739.05,2024-09-03 14:18:44
336,336,gift_card,authorized,405.69,2025-07-24 08:55:38
337,337,google_pay,failed,0.00,2024-08-05 17:08:05
338,338,paypal,paid,468.36,2023-10-12 12:15:58
339,339,gift_card,paid,660.05,2024-06-27 16:54:29
340,340,apple_pay,paid,305.32,2025-08-03 14:57:43
341,341,credit_card,paid,1401.76,2023-07-23 05:54:45
342,342,bank_transfer,refunded,153.87,2025-08-15 22:03:23
343,343,google_pay,paid,1547.85,2023-12-09 08:13:32
344,344,gift_card,paid,333.37,2023-08-07 17:24:05
345,345,credit_card,paid,292.02,2023-05-01 13:07:02
346,346,gift_card,paid,406.76,2024-12-27 22:01:37
347,347,google_pay,failed,0.00,2023-09-05 00:33:52
348,348,bank_transfer,paid,1327.41,2025-04-07 03:55:08
349,349,google_pay,refunded,357.19,2025-01-11 20:02:48
350,350,gift_card,paid,479.59,2025-12-27 14:17:23
351,351,gift_card,paid,1108.87,2025-03-05 19:53:57
352,352,google_pay,paid,999.02,2025-07-20 14:09:10
353,353,bank_transfer,paid,518.73,2023-12-27 10:46:42
354,354,gift_card,paid,245.07,2025-08-18 05:30:48
355,355,bank_transfer,paid,1137.38,2023-10-11 22:56:39
356,356,credit_card,paid,254.25,2024-09-14 07:27:03
357,357,paypal,paid,2748.53,2023-01-02 22:37:51
358,358,bank_transfer,paid,749.00,2023-08-23 01:10:52
359,359,paypal,paid,367.34,2025-03-29 02:30:49
360,360,apple_pay,paid,1890.95,2023-06-25 10:14:09
361,361,bank_transfer,refunded,1298.11,2024-10-18 20:20:27
362,362,paypal,paid,293.51,2023-03-20 10:08:14
363,363,apple_pay,paid,18.00,2024-11-28 23:08:10
364,364,gift_card,failed,0.00,2024-09-25 15:46:34
365,365,paypal,paid,1188.30,2025-03-24 18:57:27
366,366,google_pay,paid,294.69,2023-12-25 07:29:06
367,367,apple_pay,authorized,1377.87,2024-05-05 20:13:58
368,368,apple_pay,paid,1680.47,2023-09-23 18:59:40
369,369,paypal,paid,2559.27,2023-10-18 17:00:23
370,370,credit_card,paid,1522.19,2023-06-10 18:42:36
371,371,apple_pay,paid,862.72,2024-06-08 04:11:24
372,372,paypal,paid,1586.31,2025-06-20 20:49:48
373,373,credit_card,refunded,454.41,2025-01-01 15:33:21
374,374,credit_card,paid,1032.15,2024-03-15 22:21:29
375,375,paypal,paid,1060.94,2025-05-04 19:39:43
376,376,paypal,authorized,1445.93,2024-07-14 23:36:38
377,377,google_pay,paid,930.05,2024-03-18 05:22:11
378,378,credit_card,paid,723.65,2025-12-02 00:04:19
379,379,gift_card,paid,352.39,2024-04-22 11:27:31
380,380,google_pay,paid,1672.58,2024-12-29 19:51:41
381,381,gift_card,paid,580.21,2023-12-23 22:10:19
382,382,paypal,paid,1282.60,2024-08-24 01:01:43
383,383,apple_pay,paid,490.67,2025-02-15 04:05:00
384,384,gift_card,paid,2769.05,2025-05-18 00:08:59
385,385,apple_pay,paid,1512.92,2024-08-16 00:55:49
386,386,paypal,paid,797.12,2025-07-31 15:45:10
387,387,credit_card,paid,1545.86,2024-04-30 16:47:04
388,388,gift_card,paid,797.35,2024-04-29 21:34:03
389,389,credit_card,paid,116.45,2025-05-25 05:43:18
390,390,bank_transfer,paid,236.72,2023-10-03 13:52:02
391,391,gift_card,paid,1362.91,2023-03-01 14:10:22
392,392,google_pay,paid,799.58,2024-09-09 17:27:13
393,393,gift_card,partially_refunded,439.36,2023-02-10 00:54:59
394,394,apple_pay,paid,471.28,2024-04-03 07:00:58
395,395,bank_transfer,paid,2550.72,2025-12-15 19:28:07
396,396,paypal,paid,549.90,2024-04-16 01:29:59
397,397,credit_card,paid,283.24,2025-12-27 10:04:41
398,398,credit_card,paid,2391.29,2023-04-16 01:23:36
399,399,paypal,partially_refunded,241.09,2025-10-12 07:44:22
400,400,credit_card,paid,86.40,2023-12-21 17:05:16
401,401,bank_transfer,failed,0.00,2023-10-22 17:39:51
402,402,google_pay,paid,218.22,2023-02-15 19:16:25
403,403,credit_card,paid,1027.11,2023-12-27 18:07:36
404,404,paypal,paid,968.79,2025-09-07 14:44:39
405,405,gift_card,paid,543.95,2024-05-17 13:59:55
406,406,credit_card,paid,782.05,2023-09-06 19:18:11
407,407,paypal,authorized,36.17,2024-09-20 04:53:57
408,408,gift_card,paid,1334.36,2025-12-08 12:26:13
409,409,paypal,paid,872.68,2024-12-23 11:33:54
410,410,google_pay,refunded,302.49,2025-06-19 03:43:04
411,411,paypal,paid,2236.16,2025-10-12 13:08:18
412,412,apple_pay,paid,223.29,2024-11-17 02:50:44
413,413,google_pay,paid,1978.98,2024-11-20 05:25:02
414,414,paypal,authorized,265.71,2024-03-17 02:35:23
415,415,bank_transfer,paid,1525.65,2023-07-10 16:32:21
416,416,bank_transfer,authorized,308.40,2024-05-25 12:21:27
417,417,google_pay,paid,675.58,2024-08-07 03:03:56
418,418,google_pay,authorized,1016.98,2025-03-25 13:51:33
419,419,bank_transfer,paid,1312.03,2023-11-01 19:23:11
420,420,gift_card,paid,1067.35,2023-04-12 23:57:51
421,421,bank_transfer,paid,1219.76,2024-09-25 17:45:44
422,422,google_pay,paid,3319.97,2025-05-15 23:41:57
423,423,credit_card,paid,139.05,2023-11-18 00:22:51
424,424,google_pay,paid,645.51,2025-07-26 18:16:46
425,425,google_pay,paid,258.43,2025-03-13 08:19:02
426,426,paypal,paid,180.26,2024-05-25 18:33:20
427,427,google_pay,paid,1645.46,2023-04-07 13:14:17
428,428,apple_pay,paid,487.81,2025-01-15 07:09:32
429,429,bank_transfer,paid,1873.47,2023-11-24 13:10:02
430,430,google_pay,paid,1169.59,2023-07-22 01:50:07
431,431,apple_pay,paid,277.41,2025-11-03 07:56:04
432,432,apple_pay,paid,4152.14,2024-04-26 03:38:46
433,433,credit_card,paid,2624.87,2024-01-25 07:42:25
434,434,apple_pay,paid,791.18,2023-04-14 07:43:59
435,435,gift_card,paid,1817.97,2025-12-16 19:08:42
436,436,paypal,paid,1873.26,2024-06-01 15:31:38
437,437,gift_card,paid,359.91,2023-08-26 06:49:59
438,438,google_pay,paid,1582.49,2024-08-05 14:04:27
439,439,apple_pay,paid,2081.94,2023-08-14 16:38:13
440,440,apple_pay,failed,0.00,2023-12-22 22:12:47
441,441,apple_pay,paid,1615.74,2025-03-04 09:50:50
442,442,bank_transfer,paid,215.35,2024-07-04 23:37:16
443,443,apple_pay,paid,161.34,2023-09-16 04:42:41
444,444,apple_pay,paid,2063.49,2023-03-30 10:23:59
445,445,credit_card,paid,472.68,2025-01-28 11:51:01
446,446,apple_pay,paid,399.82,2024-10-28 14:26:34
447,447,paypal,paid,1869.87,2025-04-28 10:45:20
448,448,apple_pay,partially_refunded,1084.54,2023-12-08 22:11:36
449,449,apple_pay,paid,2529.65,2025-02-19 00:11:27
450,450,credit_card,paid,463.75,2023-02-08 01:17:31
451,451,bank_transfer,paid,375.41,2024-12-18 23:20:32
452,452,bank_transfer,paid,63.11,2025-05-22 13:54:07
453,453,credit_card,paid,1664.82,2023-10-24 08:10:17
454,454,credit_card,paid,1783.39,2023-11-20 17:30:12
455,455,credit_card,paid,1708.79,2024-06-08 22:11:56
456,456,apple_pay,paid,4107.71,2024-04-10 16:31:30
457,457,google_pay,failed,0.00,2025-12-24 20:40:53
458,458,paypal,paid,1037.66,2023-01-20 05:08:27
459,459,apple_pay,paid,1805.51,2025-04-18 08:15:59
460,460,paypal,paid,186.69,2025-11-25 02:58:53
461,461,credit_card,failed,0.00,2023-01-11 03:17:28
462,462,bank_transfer,paid,143.06,2025-05-05 17:55:54
463,463,paypal,paid,500.22,2024-01-25 19:15:44
464,464,google_pay,paid,539.56,2024-04-21 15:42:44
