ticket_id,customer_id,order_id,topic,ticket_status,priority,opened_datetime,closed_datetime,assigned_employee_id
36,3775,133,Product question,resolved,low,2025-10-17 08:16:03,2025-10-23 08:16:03,95
37,3550,137,Account access,resolved,high,2024-08-10 04:58:17,2024-08-14 04:58:17,97
38,6309,141,Refund request,pending_customer,high,2023-09-27 21:13:55,2023-09-28 21:13:55,82
39,5044,142,Warranty claim,resolved,urgent,2025-12-02 06:31:07,2025-12-14 06:31:07,62
40,4340,152,Account access,closed,low,2026-02-09 01:15:04,,15
41,3573,161,Payment issue,pending_customer,medium,2024-10-03 02:09:44,2024-10-07 02:09:44,87
42,9604,163,Product question,pending_customer,high,2023-10-30 16:56:46,2023-11-07 16:56:46,23
43,3551,167,Warranty claim,open,high,2025-11-05 23:37:31,,25
44,5022,168,Damaged item,pending_customer,medium,2025-01-08 21:32:49,2025-01-17 21:32:49,111
45,5332,169,Damaged item,open,low,2023-05-01 04:15:42,2023-05-07 04:15:42,16
46,863,175,Damaged item,resolved,medium,2023-11-23 11:47:00,2023-11-29 11:47:00,24
47,921,176,Refund request,escalated,high,2023-06-24 19:34:45,2023-07-03 19:34:45,66
48,2636,178,Warranty claim,closed,medium,2023-09-13 01:09:41,2023-09-17 01:09:41,56
49,3253,179,Warranty claim,open,low,2024-10-26 00:01:15,2024-10-28 00:01:15,90
50,930,180,Warranty claim,resolved,urgent,2024-01-28 13:57:36,,29
51,3004,182,Payment issue,resolved,low,2024-11-29 00:24:21,2024-11-30 00:24:21,39
52,6004,184,Damaged item,resolved,high,2023-06-16 12:40:01,2023-06-29 12:40:01,16
53,8827,190,Account access,pending_customer,medium,2024-12-24 20:50:28,2025-01-01 20:50:28,117
54,2248,193,Promo code,closed,low,2023-05-24 10:07:47,2023-05-29 10:07:47,77
55,607,198,Damaged item,open,medium,2024-12-23 13:28:25,2025-01-04 13:28:25,38
56,2032,199,Damaged item,open,high,2024-02-16 10:50:41,2024-02-20 10:50:41,51
57,3014,212,Payment issue,resolved,high,2025-04-27 02:58:55,2025-05-03 02:58:55,99
58,4277,215,Product question,closed,medium,2025-11-19 23:21:40,,85
59,2910,230,Account access,escalated,medium,2024-09-15 01:38:01,2024-09-17 01:38:01,78
60,2383,239,Product question,escalated,low,2025-06-05 12:29:03,,75
61,2487,244,Refund request,open,urgent,2023-11-08 21:34:41,,49
62,8022,245,Payment issue,pending_customer,medium,2025-03-08 23:28:33,2025-03-12 23:28:33,23
63,2933,251,Damaged item,resolved,medium,2024-10-05 03:19:35,2024-10-13 03:19:35,88
64,170,254,Damaged item,open,low,2023-07-29 21:14:48,,84
65,1393,257,Warranty claim,closed,medium,2023-06-17 14:07:00,2023-06-30 14:07:00,31
66,1711,259,Account access,escalated,low,2023-06-10 14:01:16,2023-06-17 14:01:16,6
67,4040,263,Refund request,resolved,medium,2023-03-07 15:06:35,2023-03-11 15:06:35,95
68,2481,267,Damaged item,open,medium,2023-03-04 13:03:21,2023-03-14 13:03:21,9
69,1073,270,Refund request,closed,high,2025-01-23 13:29:02,2025-02-05 13:29:02,40
70,3653,271,Product question,resolved,low,2023-11-22 17:36:44,2023-11-22 17:36:44,112
71,1729,273,Damaged item,open,low,2026-01-13 10:50:02,2026-01-23 10:50:02,78
72,1907,275,Damaged item,closed,low,2023-07-29 15:44:00,2023-08-08 15:44:00,64
73,835,278,Damaged item,resolved,low,2024-06-20 07:38:45,2024-06-29 07:38:45,94
74,5981,279,Product question,closed,high,2024-10-30 09:24:57,2024-10-30 09:24:57,108
75,8870,280,Product question,pending_customer,low,2023-10-09 20:32:30,2023-10-22 20:32:30,118
76,1944,281,Warranty claim,pending_customer,low,2024-06-17 02:51:11,2024-06-30 02:51:11,47
77,4361,284,Payment issue,pending_customer,medium,2024-03-29 07:03:39,2024-03-31 07:03:39,26
78,6030,287,Refund request,closed,medium,2025-06-11 21:37:23,2025-06-23 21:37:23,70
79,8458,291,Delivery delay,pending_customer,medium,2025-06-23 12:43:02,2025-06-24 12:43:02,70
80,7741,294,Delivery delay,open,medium,2025-11-08 20:17:26,2025-11-20 20:17:26,92
81,3349,297,Delivery delay,open,medium,2024-01-27 10:30:11,2024-01-28 10:30:11,113
82,9587,298,Warranty claim,escalated,medium,2025-05-28 02:18:20,2025-05-28 02:18:20,99
83,9138,300,Product question,pending_customer,medium,2025-06-24 09:50:28,2025-06-30 09:50:28,104
84,4778,307,Product question,open,medium,2025-02-05 23:03:56,2025-02-14 23:03:56,118
85,452,322,Account access,pending_customer,low,2024-11-24 05:42:48,2024-11-26 05:42:48,60
86,9330,324,Damaged item,closed,low,2026-01-22 19:08:48,2026-02-02 19:08:48,23
87,404,325,Product question,escalated,low,2023-02-14 09:50:52,2023-02-26 09:50:52,103
88,4335,330,Payment issue,escalated,low,2023-04-12 11:00:13,,78
89,133,343,Damaged item,escalated,high,2024-01-18 10:57:32,2024-01-28 10:57:32,74
90,9078,349,Payment issue,closed,medium,2025-01-13 17:48:48,2025-01-14 17:48:48,100
91,3242,355,Delivery delay,closed,medium,2023-11-10 05:58:39,2023-11-16 05:58:39,76
92,3775,361,Refund request,closed,medium,2024-11-20 00:35:27,2024-12-01 00:35:27,1
93,6513,365,Product question,escalated,medium,2025-04-18 18:39:27,2025-05-02 18:39:27,15
94,8314,369,Warranty claim,escalated,medium,2023-11-18 17:54:23,2023-11-25 17:54:23,12
95,3836,377,Account access,pending_customer,medium,2024-04-15 06:45:11,2024-04-17 06:45:11,104
96,8781,379,Payment issue,resolved,medium,2024-05-04 04:30:31,2024-05-04 04:30:31,113
97,3449,382,Warranty claim,pending_customer,low,2024-09-29 23:29:43,2024-09-29 23:29:43,44
98,7296,388,Product question,resolved,low,2024-06-13 11:22:03,2024-06-18 11:22:03,31
99,5573,389,Damaged item,closed,low,2025-06-25 16:21:18,2025-06-25 16:21:18,51
100,1334,402,Delivery delay,pending_customer,medium,2023-02-20 03:41:25,2023-03-01 03:41:25,13
101,7577,414,Product question,escalated,medium,2024-04-14 15:31:23,2024-04-28 15:31:23,97
102,4328,417,Delivery delay,escalated,medium,2024-09-14 15:46:56,2024-09-22 15:46:56,62
103,7990,419,Product question,escalated,low,2023-12-10 05:15:11,2023-12-11 05:15:11,107
104,1154,420,Refund request,escalated,medium,2023-05-12 16:48:51,2023-05-17 16:48:51,98
105,4388,421,Product question,resolved,medium,2024-10-06 08:09:44,2024-10-19 08:09:44,57
106,3182,423,Warranty claim,pending_customer,high,2023-12-09 13:01:51,2023-12-17 13:01:51,70
107,2403,431,Account access,closed,medium,2025-12-05 16:30:04,2025-12-10 16:30:04,115
108,1841,435,Warranty claim,resolved,medium,2026-01-19 16:43:42,,55
109,9886,437,Damaged item,closed,medium,2023-10-07 22:23:59,2023-10-17 22:23:59,108
110,9847,444,Promo code,escalated,medium,2023-05-01 01:29:59,2023-05-05 01:29:59,118
111,4903,445,Delivery delay,open,low,2025-03-12 21:23:01,,9
112,3656,453,Delivery delay,pending_customer,medium,2023-11-22 03:37:17,2023-12-04 03:37:17,8
113,8614,456,Delivery delay,closed,low,2024-05-22 20:07:30,,87
114,57,458,Delivery delay,escalated,low,2023-03-04 12:12:27,,104
115,7292,461,Promo code,open,urgent,2023-02-11 05:18:28,2023-02-20 05:18:28,7
116,9126,465,Promo code,open,low,2025-03-14 15:53:42,2025-03-16 15:53:42,82
117,7403,466,Account access,open,medium,2025-09-05 21:01:48,2025-09-19 21:01:48,88
118,5469,467,Warranty claim,resolved,low,2023-04-28 04:20:34,2023-04-30 04:20:34,37
119,3873,469,Product question,pending_customer,medium,2025-12-15 10:08:02,2025-12-25 10:08:02,14
120,3816,471,Refund request,escalated,high,2025-11-23 18:55:14,2025-11-23 18:55:14,30
121,9400,472,Promo code,resolved,medium,2026-01-06 00:31:13,2026-01-11 00:31:13,77
122,814,473,Account access,closed,medium,2025-03-09 07:08:28,2025-03-09 07:08:28,86
123,4600,474,Product question,pending_customer,medium,2023-04-20 13:48:56,,75
124,3072,475,Product question,pending_customer,medium,2023-05-10 07:38:11,2023-05-17 07:38:11,22
125,6969,481,Delivery delay,pending_customer,medium,2024-03-06 02:34:54,2024-03-07 02:34:54,64
126,108,482,Payment issue,pending_customer,high,2023-02-19 05:59:19,2023-03-02 05:59:19,120
127,9428,484,Payment issue,closed,low,2024-10-29 08:23:41,2024-11-02 08:23:41,50
128,3752,485,Promo code,resolved,low,2024-06-26 19:54:16,2024-07-01 19:54:16,91
129,351,487,Warranty claim,escalated,low,2024-05-14 16:03:02,2024-05-28 16:03:02,5
130,7180,491,Promo code,escalated,medium,2024-06-03 19:12:10,2024-06-09 19:12:10,55
131,4798,493,Account access,resolved,medium,2025-10-02 23:41:05,2025-10-07 23:41:05,42
132,8228,500,Refund request,open,low,2023-06-12 18:29:34,2023-06-17 18:29:34,37
133,8455,509,Product question,open,medium,2023-06-30 10:13:55,2023-07-12 10:13:55,53
134,2001,514,Product question,resolved,low,2023-08-13 15:59:03,2023-08-20 15:59:03,57
135,8133,519,Delivery delay,pending_customer,low,2023-04-06 15:19:49,2023-04-07 15:19:49,10
136,7768,525,Product question,pending_customer,medium,2025-08-22 15:41:08,2025-08-22 15:41:08,54
137,816,531,Delivery delay,resolved,high,2025-07-11 00:18:31,2025-07-20 00:18:31,81
138,3878,533,Payment issue,pending_customer,high,2024-07-21 23:26:39,,82
139,61,554,Promo code,closed,low,2024-03-11 22:46:07,2024-03-22 22:46:07,16
140,9458,556,Account access,escalated,low,2024-06-09 15:55:32,2024-06-13 15:55:32,65
141,4791,558,Refund request,escalated,low,2025-10-14 20:36:19,2025-10-24 20:36:19,2
142,9658,561,Delivery delay,closed,low,2023-06-04 19:24:08,2023-06-07 19:24:08,105
143,2983,569,Promo code,open,low,2024-05-21 22:11:33,2024-05-28 22:11:33,114
144,2740,573,Promo code,resolved,low,2025-01-26 04:01:44,2025-01-26 04:01:44,50
145,5886,574,Product question,open,low,2023-07-07 01:53:51,2023-07-13 01:53:51,44
146,847,580,Account access,escalated,low,2025-11-29 14:11:24,2025-12-02 14:11:24,97
147,5191,587,Damaged item,closed,low,2023-08-06 09:16:13,2023-08-15 09:16:13,23
148,3471,590,Payment issue,escalated,low,2025-06-03 06:41:18,2025-06-08 06:41:18,76
149,7971,591,Account access,pending_customer,medium,2025-09-15 16:19:15,,19
150,5149,593,Product question,pending_customer,low,2025-04-07 05:34:14,,16
151,7883,595,Warranty claim,escalated,low,2023-04-16 20:28:48,,103
152,7116,598,Delivery delay,closed,medium,2023-08-31 22:25:27,2023-09-08 22:25:27,24
153,6762,600,Account access,escalated,medium,2024-12-07 22:52:57,2024-12-11 22:52:57,57
154,9117,601,Damaged item,closed,low,2024-01-13 00:20:05,2024-01-27 00:20:05,110
155,1126,615,Refund request,closed,medium,2025-01-04 04:21:50,2025-01-13 04:21:50,82
156,5664,619,Payment issue,closed,low,2025-10-25 20:46:53,,38
157,8425,620,Account access,escalated,low,2023-05-30 15:43:16,2023-06-09 15:43:16,83
158,6996,626,Refund request,resolved,medium,2023-08-25 06:40:40,2023-08-28 06:40:40,97
159,6419,628,Refund request,pending_customer,urgent,2024-03-21 16:33:55,2024-04-04 16:33:55,55
160,9879,632,Account access,resolved,high,2026-01-18 14:45:46,2026-01-27 14:45:46,34
161,1251,633,Payment issue,pending_customer,high,2023-09-10 00:48:33,2023-09-24 00:48:33,4
162,6285,635,Delivery delay,pending_customer,medium,2024-05-29 03:39:40,2024-06-04 03:39:40,17
163,7646,638,Damaged item,escalated,urgent,2024-02-15 00:45:06,2024-02-15 00:45:06,19
164,2027,645,Refund request,pending_customer,low,2025-12-23 06:32:58,2025-12-25 06:32:58,32
165,7249,651,Payment issue,resolved,high,2023-07-24 03:00:31,2023-07-26 03:00:31,50
166,7144,657,Account access,pending_customer,medium,2025-11-04 09:26:42,2025-11-07 09:26:42,36
167,6617,662,Promo code,closed,high,2025-12-11 15:31:53,2025-12-23 15:31:53,4
168,1909,663,Payment issue,open,low,2025-02-18 17:59:17,2025-03-03 17:59:17,76
169,9201,666,Warranty claim,resolved,urgent,2025-09-17 05:42:14,2025-09-26 05:42:14,41
170,2355,672,Product question,closed,medium,2023-11-10 11:52:26,2023-11-12 11:52:26,90
171,4846,678,Payment issue,pending_customer,medium,2023-05-10 09:39:51,2023-05-23 09:39:51,71
172,551,684,Damaged item,open,high,2024-05-07 11:53:40,2024-05-20 11:53:40,62
173,7451,685,Refund request,escalated,high,2024-03-05 05:44:49,2024-03-08 05:44:49,72
174,7927,687,Payment issue,escalated,medium,2023-11-29 14:28:41,2023-12-06 14:28:41,97
175,1668,695,Payment issue,open,medium,2025-09-23 04:01:34,2025-09-25 04:01:34,95
176,9244,705,Damaged item,escalated,high,2024-08-01 19:30:32,2024-08-08 19:30:32,53
177,3923,708,Damaged item,open,medium,2025-02-11 10:10:41,,15
178,8742,722,Product question,resolved,urgent,2025-12-08 17:12:38,,59
179,9904,724,Account access,pending_customer,medium,2023-10-28 18:46:46,2023-11-04 18:46:46,39
180,7378,726,Product question,escalated,urgent,2025-06-26 21:14:20,2025-07-07 21:14:20,114
181,4659,730,Damaged item,pending_customer,medium,2025-03-29 16:03:55,2025-04-03 16:03:55,32
182,2068,738,Refund request,pending_customer,urgent,2025-03-13 12:51:43,2025-03-23 12:51:43,38
183,897,741,Warranty claim,pending_customer,high,2025-10-25 11:16:09,2025-11-06 11:16:09,78
184,6308,751,Product question,escalated,high,2025-11-26 20:13:35,,50
185,1866,758,Promo code,pending_customer,low,2024-06-08 02:46:16,2024-06-21 02:46:16,20
186,8007,759,Promo code,pending_customer,low,2024-09-13 21:16:38,2024-09-15 21:16:38,115
187,7580,761,Warranty claim,resolved,high,2023-03-28 09:44:38,2023-03-28 09:44:38,45
188,7087,765,Refund request,resolved,low,2024-08-24 11:54:24,2024-09-05 11:54:24,3
189,789,766,Promo code,escalated,medium,2025-07-09 10:52:12,2025-07-17 10:52:12,18
190,964,776,Account access,open,low,2026-01-29 22:16:48,2026-02-04 22:16:48,52
191,4327,783,Damaged item,resolved,medium,2023-06-21 10:32:53,2023-06-29 10:32:53,119
192,4680,784,Account access,escalated,low,2024-01-17 03:35:13,2024-01-17 03:35:13,109
193,9616,800,Product question,open,medium,2024-03-28 15:52:41,2024-04-08 15:52:41,90
194,5086,807,Payment issue,open,low,2023-10-15 17:23:08,,3
195,8886,808,Warranty claim,pending_customer,low,2025-05-16 21:20:48,,92
196,8124,821,Account access,closed,low,2026-01-03 02:58:49,2026-01-12 02:58:49,88
197,5070,822,Product question,closed,low,2023-05-04 06:34:42,2023-05-14 06:34:42,14
198,2130,823,Damaged item,resolved,high,2024-07-26 17:34:20,2024-07-28 17:34:20,80
199,4550,826,Warranty claim,resolved,medium,2024-09-25 13:12:09,2024-09-25 13:12:09,116
200,5184,835,Refund request,resolved,low,2024-12-25 02:35:32,2024-12-25 02:35:32,88
201,8602,837,Promo code,resolved,high,2024-06-07 06:49:27,2024-06-15 06:49:27,95
202,4634,843,Refund request,resolved,high,2025-11-25 20:01:01,2025-12-01 20:01:01,99
203,6555,848,Delivery delay,open,low,2025-09-02 11:54:17,2025-09-11 11:54:17,97
204,2598,852,Damaged item,escalated,medium,2023-02-18 19:50:57,2023-02-18 19:50:57,68
205,4923,854,Account access,pending_customer,high,2023-10-26 06:53:34,2023-11-08 06:53:34,60
206,6145,865,Promo code,escalated,medium,2025-06-30 01:28:03,2025-07-12 01:28:03,63
207,1057,869,Promo code,closed,low,2024-11-28 21:16:23,2024-11-28 21:16:23,50
208,1540,872,Product question,closed,low,2025-12-15 22:25:47,2025-12-21 22:25:47,5
209,6294,873,Refund request,open,medium,2023-03-31 03:44:39,2023-04-13 03:44:39,110
210,8732,876,Delivery delay,closed,low,2025-05-14 11:22:33,2025-05-26 11:22:33,103
211,1264,877,Warranty claim,escalated,low,2023-03-06 16:02:02,2023-03-13 16:02:02,4
212,9703,885,Refund request,resolved,low,2023-05-11 18:14:04,2023-05-21 18:14:04,10
213,6600,892,Promo code,open,low,2024-06-22 05:01:37,,38
214,5067,893,Payment issue,resolved,low,2024-11-05 14:16:55,2024-11-11 14:16:55,74
215,4917,906,Account access,escalated,low,2024-10-22 20:06:01,2024-11-01 20:06:01,24
216,3128,908,Refund request,escalated,low,2024-08-28 07:08:22,,64
217,4428,910,Refund request,closed,medium,2023-03-05 22:23:08,2023-03-08 22:23:08,64
218,6940,915,Product question,resolved,medium,2025-12-16 23:22:24,,112
219,6010,918,Warranty claim,escalated,high,2025-12-05 03:25:38,2025-12-17 03:25:38,29
220,8681,922,Damaged item,closed,medium,2024-06-15 05:00:17,2024-06-23 05:00:17,30
221,9255,923,Refund request,pending_customer,medium,2024-03-31 21:13:15,2024-04-12 21:13:15,62
222,5878,928,Warranty claim,closed,medium,2025-04-24 09:49:51,,90
223,9056,933,Refund request,resolved,low,2025-04-14 00:13:36,2025-04-20 00:13:36,66
224,8850,938,Refund request,closed,low,2024-10-16 14:31:23,2024-10-17 14:31:23,114
225,3036,946,Payment issue,pending_customer,medium,2023-05-05 10:14:25,2023-05-12 10:14:25,42
226,6044,951,Payment issue,pending_customer,low,2025-01-11 07:25:54,2025-01-18 07:25:54,69
227,9168,958,Account access,pending_customer,high,2023-09-02 09:31:58,2023-09-12 09:31:58,49
228,1866,960,Product question,escalated,high,2023-10-16 14:08:29,2023-10-23 14:08:29,87
229,90,968,Warranty claim,pending_customer,medium,2025-06-27 16:09:33,2025-07-07 16:09:33,98
230,2797,971,Payment issue,pending_customer,low,2023-08-01 15:54:59,2023-08-09 15:54:59,48
231,5341,972,Promo code,pending_customer,medium,2024-08-16 12:44:35,2024-08-30 12:44:35,95
232,8321,974,Refund request,resolved,high,2024-07-21 13:08:20,2024-07-25 13:08:20,39
233,3843,978,Warranty claim,open,medium,2023-06-02 16:54:21,2023-06-15 16:54:21,59
234,8693,980,Product question,resolved,low,2023-08-09 18:49:46,2023-08-20 18:49:46,78
235,4005,981,Delivery delay,escalated,medium,2024-07-24 00:15:22,2024-07-26 00:15:22,38
236,8538,985,Damaged item,resolved,low,2025-11-18 18:34:31,2025-12-01 18:34:31,77
237,5045,986,Payment issue,escalated,low,2025-06-08 00:26:28,,112
238,1659,989,Promo code,escalated,medium,2023-02-10 02:17:55,2023-02-23 02:17:55,43
239,994,994,Payment issue,resolved,medium,2023-11-17 21:34:08,2023-11-30 21:34:08,72
240,432,1005,Promo code,escalated,medium,2025-07-09 00:23:22,2025-07-21 00:23:22,120
241,1899,1009,Promo code,open,urgent,2023-02-28 04:56:18,2023-03-14 04:56:18,87
242,7994,1022,Product question,closed,high,2024-01-15 22:07:23,,35
243,1540,1025,Warranty claim,escalated,low,2024-07-24 05:50:11,2024-07-26 05:50:11,102
244,7524,1027,Product question,escalated,medium,2024-11-16 04:32:22,,37
245,122,1029,Promo code,escalated,low,2025-07-29 18:13:47,,66
246,3166,1034,Account access,resolved,medium,2025-06-03 18:00:12,2025-06-12 18:00:12,78
247,9048,1035,Warranty claim,escalated,high,2025-11-19 01:36:55,2025-12-01 01:36:55,96
248,8965,1039,Product question,open,high,2025-04-04 12:57:40,,75
249,5336,1047,Promo code,pending_customer,high,2024-09-24 16:15:33,2024-09-24 16:15:33,24
250,8396,1052,Warranty claim,escalated,medium,2023-03-28 17:54:15,2023-04-07 17:54:15,65
251,2305,1054,Damaged item,closed,low,2023-01-27 16:34:33,,42
252,6543,1064,Delivery delay,open,high,2024-01-02 14:06:48,2024-01-04 14:06:48,60
253,3902,1069,Product question,resolved,high,2025-03-01 04:01:55,2025-03-10 04:01:55,39
254,6045,1073,Warranty claim,closed,medium,2025-06-09 19:42:35,,24
255,508,1075,Delivery delay,closed,high,2024-08-10 19:42:22,,65
256,5805,1077,Delivery delay,closed,high,2024-11-18 06:17:57,2024-11-23 06:17:57,93
257,257,1080,Product question,pending_customer,low,2025-01-29 14:59:40,2025-02-06 14:59:40,18
258,308,1092,Payment issue,closed,medium,2024-09-25 20:59:56,2024-09-25 20:59:56,42
259,5242,1094,Damaged item,escalated,medium,2025-04-12 16:52:03,2025-04-12 16:52:03,82
260,637,1102,Refund request,escalated,medium,2023-02-27 20:33:38,2023-03-11 20:33:38,5
261,9344,1108,Delivery delay,open,urgent,2023-02-01 09:20:22,2023-02-10 09:20:22,64
262,8765,1113,Payment issue,resolved,urgent,2024-06-24 09:56:58,2024-06-24 09:56:58,18
263,7133,1118,Delivery delay,escalated,high,2024-07-17 19:28:34,2024-07-27 19:28:34,13
264,4367,1119,Payment issue,resolved,low,2024-05-01 12:21:53,2024-05-04 12:21:53,100
265,4431,1123,Delivery delay,pending_customer,low,2024-11-12 02:22:32,2024-11-15 02:22:32,44
266,6511,1127,Refund request,open,low,2024-01-19 07:19:11,2024-02-02 07:19:11,62
267,6018,1128,Product question,open,low,2025-08-23 04:27:07,2025-09-06 04:27:07,95
268,5136,1134,Promo code,pending_customer,medium,2026-01-05 18:52:28,,25
269,8796,1135,Damaged item,open,high,2023-12-13 08:41:52,2023-12-19 08:41:52,55
270,9493,1136,Delivery delay,escalated,high,2026-01-15 17:24:31,2026-01-21 17:24:31,8
271,3427,1137,Warranty claim,resolved,high,2025-08-22 19:17:31,2025-08-29 19:17:31,112
272,5702,1146,Account access,open,high,2023-12-28 20:42:02,2024-01-08 20:42:02,94
273,7334,1148,Damaged item,resolved,medium,2023-10-21 21:25:25,2023-10-30 21:25:25,108
274,3437,1150,Payment issue,resolved,medium,2025-01-08 00:49:12,2025-01-22 00:49:12,107
275,843,1151,Product question,closed,high,2025-02-05 05:19:29,2025-02-14 05:19:29,48
276,7645,1156,Damaged item,open,high,2025-03-19 17:22:09,2025-03-31 17:22:09,60
277,3145,1160,Payment issue,open,low,2025-02-24 20:56:25,2025-03-10 20:56:25,57
278,5471,1161,Refund request,closed,urgent,2025-10-30 07:28:39,,36
279,7773,1171,Refund request,open,medium,2023-07-17 09:51:57,2023-07-25 09:51:57,100
280,250,1175,Refund request,closed,medium,2023-05-24 02:00:00,2023-05-24 02:00:00,107
281,7049,1176,Product question,pending_customer,high,2025-12-01 03:59:07,,81
282,9630,1190,Account access,resolved,urgent,2023-05-04 04:28:29,2023-05-12 04:28:29,27
283,3675,1194,Refund request,open,high,2024-05-05 05:35:37,2024-05-13 05:35:37,33
284,1287,1196,Delivery delay,escalated,high,2024-04-30 14:48:21,,76
285,106,1200,Promo code,closed,low,2025-03-20 00:53:21,,112
286,7772,1206,Account access,pending_customer,medium,2025-11-06 17:14:50,,7
287,3374,1212,Refund request,open,medium,2025-06-05 17:04:17,2025-06-17 17:04:17,49
288,83,1213,Account access,resolved,medium,2024-06-28 21:36:00,2024-07-08 21:36:00,41
289,3628,1214,Promo code,pending_customer,medium,2023-10-01 17:43:30,2023-10-04 17:43:30,119
290,1482,1215,Account access,open,high,2023-10-05 13:08:20,2023-10-09 13:08:20,102
291,9817,1226,Refund request,open,low,2024-07-11 05:58:52,,89
292,4418,1228,Delivery delay,open,medium,2023-02-25 03:21:13,2023-03-06 03:21:13,1
293,6599,1231,Account access,resolved,medium,2023-01-20 11:00:11,2023-01-31 11:00:11,40
294,6771,1232,Delivery delay,escalated,medium,2023-04-26 13:14:18,,38
295,7158,1233,Payment issue,open,low,2023-03-08 03:42:26,2023-03-19 03:42:26,74
296,1693,1240,Refund request,closed,medium,2024-01-22 11:31:09,2024-01-25 11:31:09,84
297,8277,1242,Delivery delay,pending_customer,medium,2025-03-21 07:47:02,2025-04-01 07:47:02,91
298,8375,1247,Warranty claim,open,urgent,2024-12-25 10:00:42,,28
299,8592,1249,Refund request,escalated,medium,2023-06-06 17:16:57,2023-06-14 17:16:57,48
300,8555,1250,Payment issue,pending_customer,high,2025-11-19 03:18:56,,33
301,518,1259,Refund request,open,medium,2024-10-20 12:27:49,,83
302,970,1263,Delivery delay,resolved,low,2023-04-28 06:25:06,2023-05-05 06:25:06,55
303,1889,1265,Account access,closed,high,2023-04-09 08:48:33,2023-04-12 08:48:33,65
304,7923,1269,Account access,open,medium,2025-11-11 22:23:55,,9
305,4180,1273,Product question,resolved,medium,2025-03-07 12:08:40,2025-03-07 12:08:40,79
306,1101,1277,Damaged item,pending_customer,low,2024-04-16 22:43:02,2024-04-21 22:43:02,105
307,5837,1279,Promo code,open,high,2024-08-07 19:43:29,2024-08-07 19:43:29,22
308,5356,1286,Account access,pending_customer,medium,2024-01-25 03:57:08,2024-02-03 03:57:08,65
309,1308,1287,Product question,resolved,medium,2024-09-25 20:02:16,2024-10-02 20:02:16,31
