shipment_id,order_id,warehouse_id,shipping_method,carrier,shipped_datetime,delivered_datetime,shipment_status
87,102,2,expedited,USPS,2023-04-16 22:42:32,2023-04-23 22:42:32,delivered
88,103,6,expedited,USPS,2024-04-16 02:44:39,2024-04-22 02:44:39,delivered
89,104,8,pickup,USPS,2024-02-24 06:30:18,2024-02-28 06:30:18,delivered
90,105,8,expedited,UPS,2023-12-21 05:18:26,2023-12-23 05:18:26,delivered
91,106,2,pickup,FedEx,2025-09-07 05:31:47,2025-09-08 05:31:47,delivered
92,107,2,expedited,USPS,2025-02-04 05:48:57,2025-02-11 05:48:57,delivered
93,108,2,overnight,DHL,2024-07-30 15:41:40,2024-07-31 15:41:40,delivered
94,109,2,standard,FedEx,2025-02-12 14:21:11,2025-02-13 14:21:11,delivered
95,110,8,overnight,UPS,2024-04-16 05:32:24,2024-04-23 05:32:24,delivered
96,111,6,pickup,FedEx,2024-01-15 05:26:35,2024-01-25 05:26:35,delivered
97,112,5,overnight,USPS,2024-12-01 05:10:45,2024-12-10 05:10:45,delivered
98,113,2,expedited,DHL,2024-11-29 19:28:56,2024-12-06 19:28:56,delivered
99,114,3,overnight,FedEx,2023-06-09 15:08:41,2023-06-14 15:08:41,delivered
100,115,4,pickup,USPS,2024-10-18 03:58:56,2024-10-19 03:58:56,delivered
101,116,2,pickup,USPS,2024-04-02 00:16:14,2024-04-03 00:16:14,delivered
102,117,3,expedited,FedEx,2024-12-08 23:22:53,2024-12-17 23:22:53,delivered
103,118,6,pickup,USPS,2025-07-11 20:17:47,2025-07-17 20:17:47,in_transit
104,121,6,expedited,USPS,2024-02-06 01:40:25,2024-02-10 01:40:25,delivered
105,122,3,expedited,UPS,2025-05-24 04:10:07,2025-05-28 04:10:07,returned
106,123,1,expedited,DHL,2025-10-16 06:50:10,2025-10-24 06:50:10,delivered
107,124,5,expedited,UPS,2023-12-07 02:57:04,2023-12-09 02:57:04,delivered
108,125,8,expedited,FedEx,2024-07-28 19:40:36,2024-08-02 19:40:36,delivered
109,126,3,overnight,USPS,2024-09-21 10:59:56,2024-09-27 10:59:56,in_transit
110,127,1,pickup,FedEx,2025-05-10 14:54:42,2025-05-11 14:54:42,returned
111,128,4,overnight,UPS,2024-03-23 17:56:47,2024-03-31 17:56:47,delivered
112,129,6,expedited,UPS,2024-11-22 09:13:02,2024-11-26 09:13:02,delivered
113,130,5,pickup,USPS,2023-07-22 20:54:53,,delivered
114,131,5,overnight,USPS,2025-11-10 11:22:35,,delivered
115,132,8,standard,DHL,2023-07-17 14:27:41,2023-07-22 14:27:41,in_transit
116,134,7,expedited,USPS,2024-03-11 22:08:10,2024-03-14 22:08:10,delivered
117,135,8,expedited,UPS,2024-12-31 09:54:42,2025-01-03 09:54:42,delivered
118,136,4,overnight,UPS,2023-07-06 11:35:01,2023-07-14 11:35:01,in_transit
119,137,8,overnight,UPS,2024-07-15 04:58:17,2024-07-22 04:58:17,delivered
120,138,7,expedited,USPS,2023-12-13 08:18:21,2023-12-23 08:18:21,delivered
121,139,5,pickup,FedEx,2024-07-05 01:32:09,2024-07-15 01:32:09,delivered
122,140,5,overnight,UPS,2025-08-30 20:12:14,2025-09-01 20:12:14,delivered
123,141,2,expedited,DHL,2023-09-06 21:13:55,2023-09-09 21:13:55,returned
124,142,2,standard,DHL,2025-11-06 06:31:07,2025-11-14 06:31:07,delivered
125,144,1,standard,DHL,2023-12-18 04:17:32,2023-12-19 04:17:32,delivered
126,145,4,standard,USPS,2025-11-27 00:35:04,2025-12-06 00:35:04,delivered
127,147,2,standard,UPS,2024-01-01 02:47:56,2024-01-06 02:47:56,delivered
128,148,5,overnight,DHL,2023-06-13 09:18:08,2023-06-18 09:18:08,delivered
129,149,8,overnight,DHL,2024-03-05 04:37:29,2024-03-14 04:37:29,in_transit
130,150,8,standard,FedEx,2025-04-24 08:21:58,2025-04-25 08:21:58,delivered
131,152,8,expedited,DHL,2025-12-31 01:15:04,2026-01-08 01:15:04,delivered
132,153,4,expedited,FedEx,2024-03-17 16:39:36,2024-03-20 16:39:36,delivered
133,154,8,overnight,UPS,2023-01-14 07:33:24,2023-01-24 07:33:24,delivered
134,155,2,standard,USPS,2024-12-27 05:09:52,2025-01-03 05:09:52,delivered
135,156,2,standard,UPS,2024-12-25 08:41:57,2024-12-29 08:41:57,delivered
136,157,2,expedited,UPS,2025-09-21 07:13:08,,in_transit
137,158,5,expedited,FedEx,2023-12-21 23:54:27,2023-12-24 23:54:27,delivered
138,160,3,overnight,DHL,2023-03-20 04:02:08,2023-03-27 04:02:08,in_transit
139,162,6,expedited,UPS,2023-11-15 13:07:55,2023-11-19 13:07:55,delivered
140,163,5,standard,UPS,2023-10-11 16:56:46,,in_transit
141,164,8,standard,DHL,2023-12-01 00:11:25,2023-12-05 00:11:25,in_transit
142,165,5,overnight,FedEx,2025-11-24 11:22:06,2025-11-27 11:22:06,delivered
143,166,5,pickup,UPS,2023-12-30 06:36:21,2024-01-06 06:36:21,delivered
144,167,6,pickup,DHL,2025-10-27 23:37:31,2025-11-04 23:37:31,returned
145,168,2,expedited,UPS,2025-01-03 21:32:49,2025-01-09 21:32:49,delivered
146,169,6,standard,UPS,2023-03-21 04:15:42,2023-03-22 04:15:42,in_transit
147,170,2,standard,FedEx,2025-05-09 01:49:49,2025-05-18 01:49:49,delivered
148,171,6,standard,DHL,2024-08-04 23:22:50,2024-08-10 23:22:50,in_transit
149,172,6,standard,DHL,2023-09-14 00:32:07,2023-09-18 00:32:07,delivered
150,174,2,pickup,DHL,2024-08-17 08:28:09,2024-08-18 08:28:09,delivered
151,175,8,pickup,USPS,2023-10-28 11:47:00,,delivered
152,176,8,expedited,DHL,2023-06-03 19:34:45,2023-06-04 19:34:45,delivered
153,178,4,overnight,FedEx,2023-08-19 01:09:41,2023-08-26 01:09:41,delivered
154,179,1,standard,UPS,2024-09-21 00:01:15,2024-09-28 00:01:15,delivered
155,180,1,pickup,UPS,2024-01-18 13:57:36,2024-01-22 13:57:36,delivered
156,181,3,expedited,USPS,2023-12-23 13:45:48,,delivered
157,182,7,standard,USPS,2024-10-30 00:24:21,,delivered
158,183,7,overnight,FedEx,2025-06-17 00:56:48,2025-06-25 00:56:48,in_transit
159,184,2,overnight,DHL,2023-05-04 12:40:01,,delivered
160,185,4,standard,UPS,2023-11-16 07:42:41,,delivered
161,186,5,standard,UPS,2024-12-30 06:03:28,2025-01-06 06:03:28,delivered
162,187,3,expedited,USPS,2024-07-23 20:41:31,2024-07-24 20:41:31,delivered
163,188,7,pickup,DHL,2024-09-25 15:20:09,,delivered
164,189,3,pickup,DHL,2024-04-16 09:42:17,2024-04-22 09:42:17,delivered
165,190,3,pickup,DHL,2024-12-22 20:50:28,,delivered
166,191,5,expedited,USPS,2024-10-13 01:26:13,2024-10-14 01:26:13,in_transit
167,192,8,pickup,DHL,2023-04-07 21:31:53,2023-04-16 21:31:53,in_transit
168,193,3,overnight,FedEx,2023-04-24 10:07:47,2023-04-29 10:07:47,delivered
169,194,6,standard,DHL,2025-01-08 05:37:00,2025-01-16 05:37:00,in_transit
170,195,8,pickup,DHL,2024-11-01 06:17:55,2024-11-08 06:17:55,delivered
171,196,3,overnight,UPS,2025-12-13 06:10:38,2025-12-19 06:10:38,delivered
172,199,3,expedited,USPS,2024-02-12 10:50:41,2024-02-17 10:50:41,delivered
173,201,8,pickup,UPS,2025-11-14 00:27:29,2025-11-21 00:27:29,delivered
174,203,2,standard,FedEx,2024-05-14 14:12:47,2024-05-24 14:12:47,delivered
175,204,3,overnight,FedEx,2024-04-25 17:25:39,2024-05-01 17:25:39,delivered
176,205,4,expedited,DHL,2024-02-26 09:03:11,2024-02-28 09:03:11,delivered
177,206,3,expedited,USPS,2025-04-12 22:31:34,2025-04-22 22:31:34,in_transit
178,207,8,overnight,USPS,2024-04-03 18:57:07,,delivered
179,209,7,standard,FedEx,2023-12-06 23:52:43,2023-12-11 23:52:43,delivered
180,210,3,expedited,DHL,2024-10-08 11:23:04,2024-10-14 11:23:04,delivered
181,211,6,overnight,UPS,2023-02-09 22:23:19,2023-02-12 22:23:19,delivered
182,212,6,expedited,UPS,2025-03-27 02:58:55,2025-03-31 02:58:55,delivered
183,214,3,overnight,FedEx,2025-05-15 09:15:21,2025-05-25 09:15:21,delivered
184,215,4,expedited,UPS,2025-10-31 23:21:40,2025-11-02 23:21:40,delivered
185,216,2,expedited,UPS,2023-06-12 02:15:32,,delivered
186,217,1,pickup,DHL,2025-11-02 07:48:26,,delivered
187,218,4,standard,UPS,2025-02-23 14:44:59,2025-03-03 14:44:59,delivered
188,219,2,overnight,USPS,2024-06-16 09:33:15,2024-06-19 09:33:15,delivered
189,220,3,pickup,UPS,2023-01-03 23:30:24,2023-01-10 23:30:24,delivered
190,221,1,expedited,UPS,2023-10-15 02:24:22,2023-10-17 02:24:22,delivered
191,223,6,standard,DHL,2024-09-11 15:05:42,2024-09-12 15:05:42,delivered
192,224,7,expedited,USPS,2025-09-23 12:35:41,2025-10-01 12:35:41,delivered
193,225,1,standard,DHL,2024-09-25 06:09:38,2024-09-30 06:09:38,delivered
194,226,7,expedited,FedEx,2023-06-23 06:14:18,2023-07-03 06:14:18,delivered
195,227,1,standard,USPS,2025-06-21 19:57:16,2025-06-28 19:57:16,delivered
196,228,7,expedited,DHL,2023-10-27 07:32:05,2023-10-31 07:32:05,delivered
197,229,1,standard,FedEx,2024-11-29 23:16:04,2024-11-30 23:16:04,delivered
198,231,7,pickup,DHL,2025-08-07 01:55:30,2025-08-14 01:55:30,delivered
199,232,1,pickup,DHL,2023-12-05 22:26:04,2023-12-08 22:26:04,delivered
200,233,3,overnight,FedEx,2024-06-28 01:45:27,,delivered
201,234,5,pickup,UPS,2023-01-24 05:31:20,,delivered
202,235,8,overnight,UPS,2024-09-28 06:31:50,,delivered
203,236,8,expedited,DHL,2023-12-07 04:33:42,2023-12-14 04:33:42,delivered
204,237,4,pickup,FedEx,2023-06-14 01:20:54,2023-06-19 01:20:54,delivered
205,239,2,standard,UPS,2025-04-26 12:29:03,2025-05-02 12:29:03,delivered
206,240,7,overnight,USPS,2024-11-05 05:20:41,2024-11-07 05:20:41,returned
207,241,2,pickup,DHL,2023-10-29 18:59:02,2023-11-03 18:59:02,delivered
208,243,5,expedited,DHL,2024-08-04 20:58:05,2024-08-10 20:58:05,delivered
209,244,8,expedited,DHL,2023-11-04 21:34:41,2023-11-11 21:34:41,in_transit
210,245,4,overnight,FedEx,2025-02-27 23:28:33,,delivered
211,246,2,overnight,DHL,2023-04-10 17:43:31,2023-04-20 17:43:31,delivered
212,247,4,overnight,UPS,2024-10-04 09:58:36,2024-10-09 09:58:36,delivered
213,248,1,pickup,DHL,2025-02-13 22:15:02,2025-02-16 22:15:02,returned
214,249,8,standard,DHL,2024-01-19 00:05:42,2024-01-23 00:05:42,delivered
215,250,2,overnight,FedEx,2025-09-29 08:14:33,2025-10-07 08:14:33,in_transit
216,251,6,expedited,DHL,2024-09-11 03:19:35,2024-09-15 03:19:35,in_transit
217,252,8,pickup,DHL,2025-02-25 05:53:55,2025-03-04 05:53:55,in_transit
218,253,6,pickup,UPS,2025-05-14 04:18:22,2025-05-18 04:18:22,delivered
219,254,8,expedited,FedEx,2023-07-24 21:14:48,2023-07-28 21:14:48,delivered
220,255,8,overnight,FedEx,2023-06-06 19:09:43,2023-06-14 19:09:43,delivered
221,256,1,expedited,DHL,2025-05-27 23:11:18,2025-05-28 23:11:18,delivered
222,257,1,expedited,FedEx,2023-05-20 14:07:00,2023-05-29 14:07:00,delivered
223,258,8,overnight,UPS,2023-01-26 21:37:47,2023-01-31 21:37:47,delivered
224,259,4,standard,DHL,2023-06-11 14:01:16,,delivered
225,260,1,pickup,USPS,2024-12-25 12:41:50,2024-12-30 12:41:50,delivered
226,262,7,overnight,UPS,2024-05-24 12:29:49,2024-05-26 12:29:49,delivered
227,264,8,pickup,USPS,2023-04-23 07:02:26,2023-05-03 07:02:26,delivered
228,265,8,pickup,DHL,2025-06-21 11:52:22,2025-06-27 11:52:22,delivered
229,266,6,overnight,FedEx,2025-01-06 17:14:42,2025-01-11 17:14:42,delivered
230,267,2,overnight,DHL,2023-02-18 13:03:21,2023-02-19 13:03:21,delivered
231,268,5,standard,UPS,2025-01-19 23:19:16,2025-01-23 23:19:16,delivered
232,271,7,expedited,UPS,2023-11-08 17:36:44,2023-11-18 17:36:44,delivered
233,272,2,pickup,DHL,2023-08-30 14:33:32,2023-09-04 14:33:32,delivered
234,273,1,pickup,DHL,2025-12-19 10:50:02,2025-12-27 10:50:02,lost
235,274,3,pickup,UPS,2024-01-01 15:04:52,2024-01-07 15:04:52,returned
236,275,1,overnight,UPS,2023-07-10 15:44:00,2023-07-20 15:44:00,delivered
237,276,3,standard,FedEx,2024-01-23 07:02:48,2024-01-28 07:02:48,in_transit
238,277,4,standard,USPS,2023-05-26 19:57:10,2023-06-05 19:57:10,delivered
239,278,1,expedited,UPS,2024-06-08 07:38:45,2024-06-17 07:38:45,delivered
240,279,1,overnight,USPS,2024-09-25 09:24:57,2024-09-27 09:24:57,returned
241,280,1,standard,DHL,2023-09-23 20:32:30,2023-09-28 20:32:30,delivered
242,282,7,overnight,DHL,2024-09-13 01:33:28,2024-09-21 01:33:28,delivered
243,283,1,standard,UPS,2024-02-10 10:36:24,2024-02-11 10:36:24,in_transit
244,284,8,expedited,UPS,2024-02-26 07:03:39,2024-03-03 07:03:39,delivered
245,285,2,expedited,UPS,2023-09-27 08:29:40,2023-10-04 08:29:40,delivered
246,286,1,overnight,FedEx,2025-09-23 12:02:54,2025-09-24 12:02:54,delivered
247,287,2,expedited,UPS,2025-05-21 21:37:23,2025-05-26 21:37:23,delivered
248,288,3,overnight,DHL,2023-04-11 11:51:23,2023-04-20 11:51:23,in_transit
249,289,8,expedited,USPS,2024-08-26 15:09:22,2024-08-30 15:09:22,delivered
250,290,5,pickup,UPS,2023-09-27 02:32:39,2023-10-02 02:32:39,delivered
251,291,6,overnight,UPS,2025-05-31 12:43:02,,returned
252,292,4,standard,USPS,2025-08-09 18:40:25,2025-08-19 18:40:25,in_transit
253,293,4,expedited,UPS,2025-07-14 07:34:00,2025-07-16 07:34:00,in_transit
254,294,3,overnight,FedEx,2025-10-01 20:17:26,,delivered
255,296,1,expedited,DHL,2025-07-31 14:20:15,2025-08-02 14:20:15,delivered
256,297,2,expedited,UPS,2024-01-18 10:30:11,2024-01-26 10:30:11,delivered
257,298,7,standard,UPS,2025-04-15 02:18:20,2025-04-24 02:18:20,in_transit
258,299,7,overnight,FedEx,2025-09-10 01:32:02,2025-09-20 01:32:02,delivered
259,300,5,pickup,UPS,2025-05-15 09:50:28,2025-05-24 09:50:28,delivered
260,301,4,pickup,UPS,2024-03-12 00:29:03,2024-03-19 00:29:03,delivered
261,302,6,standard,USPS,2023-10-27 03:03:08,2023-11-06 03:03:08,delivered
262,303,8,expedited,FedEx,2023-02-28 20:04:06,2023-03-08 20:04:06,delivered
263,304,5,expedited,FedEx,2024-07-18 18:05:00,,delivered
264,305,7,expedited,DHL,2025-10-18 01:35:49,2025-10-23 01:35:49,delivered
265,306,4,expedited,FedEx,2025-03-08 09:08:59,2025-03-10 09:08:59,delivered
266,307,4,pickup,UPS,2024-12-24 23:03:56,2024-12-26 23:03:56,delivered
267,308,6,overnight,FedEx,2024-04-13 18:47:30,,delivered
268,309,4,overnight,USPS,2025-12-01 03:22:31,2025-12-03 03:22:31,delivered
269,311,4,overnight,DHL,2024-10-28 23:30:46,2024-11-02 23:30:46,delivered
270,312,7,overnight,USPS,2025-06-13 21:14:29,2025-06-22 21:14:29,delivered
271,313,6,expedited,DHL,2025-11-01 13:24:53,2025-11-11 13:24:53,lost
272,314,1,pickup,DHL,2024-05-10 12:05:23,,delivered
273,316,3,overnight,UPS,2024-01-06 05:44:52,2024-01-11 05:44:52,delivered
274,317,2,expedited,FedEx,2025-09-17 07:13:05,2025-09-22 07:13:05,delivered
275,318,8,expedited,DHL,2024-09-01 01:47:13,2024-09-08 01:47:13,delivered
276,320,8,pickup,DHL,2025-10-13 06:23:34,2025-10-20 06:23:34,in_transit
277,322,7,overnight,FedEx,2024-10-20 05:42:48,2024-10-29 05:42:48,delivered
278,323,8,overnight,DHL,2023-09-13 01:50:01,,delivered
279,324,3,standard,UPS,2025-12-10 19:08:48,2025-12-18 19:08:48,delivered
280,325,3,pickup,FedEx,2023-01-24 09:50:52,2023-01-31 09:50:52,delivered
281,326,8,overnight,USPS,2024-08-21 12:46:34,2024-08-30 12:46:34,delivered
282,327,8,standard,UPS,2023-05-13 06:03:49,2023-05-21 06:03:49,delivered
283,328,2,pickup,DHL,2025-10-28 10:55:53,2025-11-04 10:55:53,lost
284,329,8,overnight,FedEx,2023-04-29 00:50:19,2023-05-03 00:50:19,delivered
285,330,5,overnight,UPS,2023-04-08 11:00:13,2023-04-18 11:00:13,delivered
286,331,1,pickup,FedEx,2023-12-26 15:42:46,2023-12-31 15:42:46,delivered
287,332,6,pickup,DHL,2025-02-18 03:48:45,2025-02-26 03:48:45,delivered
288,333,3,expedited,FedEx,2024-08-10 04:23:48,,in_transit
289,334,4,standard,FedEx,2025-03-04 20:14:39,2025-03-07 20:14:39,delivered
290,335,7,pickup,FedEx,2024-09-06 06:31:44,2024-09-14 06:31:44,delivered
291,336,8,standard,FedEx,2025-07-23 12:21:38,2025-07-29 12:21:38,delivered
292,338,7,standard,DHL,2023-10-13 11:01:58,2023-10-17 11:01:58,delivered
293,339,1,expedited,UPS,2024-06-26 20:34:29,2024-07-05 20:34:29,delivered
294,340,7,standard,FedEx,2025-08-03 16:58:43,2025-08-07 16:58:43,delivered
295,341,7,pickup,USPS,2023-07-23 10:30:45,2023-07-26 10:30:45,delivered
296,342,3,expedited,FedEx,2025-08-16 14:14:23,2025-08-26 14:14:23,delivered
297,343,8,standard,USPS,2023-12-08 10:57:32,2023-12-11 10:57:32,in_transit
298,344,2,pickup,FedEx,2023-08-10 08:16:05,2023-08-17 08:16:05,delivered
299,345,8,standard,FedEx,2023-05-03 15:16:02,,delivered
300,346,4,pickup,FedEx,2024-12-29 18:34:37,2025-01-01 18:34:37,delivered
301,350,6,pickup,FedEx,2025-12-30 10:12:23,2026-01-09 10:12:23,delivered
302,351,1,expedited,DHL,2025-03-06 15:31:57,2025-03-09 15:31:57,delivered
303,352,4,expedited,FedEx,2025-07-20 18:59:10,2025-07-24 18:59:10,delivered
304,353,5,overnight,USPS,2023-12-27 21:34:42,2024-01-03 21:34:42,delivered
305,354,2,standard,UPS,2025-08-18 07:32:48,2025-08-27 07:32:48,delivered
306,355,3,standard,FedEx,2023-10-13 05:58:39,2023-10-21 05:58:39,delivered
307,356,3,standard,USPS,2024-09-15 11:06:03,,in_transit
308,357,8,overnight,DHL,2023-01-02 15:55:51,2023-01-08 15:55:51,delivered
309,358,3,overnight,FedEx,2023-08-24 23:22:52,2023-09-01 23:22:52,delivered
310,359,6,overnight,USPS,2025-03-29 12:45:49,2025-04-05 12:45:49,delivered
311,362,4,pickup,DHL,2023-03-21 23:14:14,2023-03-23 23:14:14,delivered
312,363,4,overnight,USPS,2024-11-28 03:59:10,2024-12-07 03:59:10,delivered
313,366,3,pickup,FedEx,2023-12-26 09:04:06,2024-01-01 09:04:06,returned
314,367,8,pickup,UPS,2024-05-06 10:16:58,2024-05-10 10:16:58,delivered
315,368,1,pickup,FedEx,2023-09-23 14:14:40,2023-10-01 14:14:40,delivered
316,369,5,pickup,DHL,2023-10-20 17:54:23,2023-10-29 17:54:23,delivered
317,370,1,expedited,FedEx,2023-06-10 09:03:36,2023-06-14 09:03:36,delivered
318,371,2,expedited,USPS,2024-06-11 04:10:24,2024-06-13 04:10:24,delivered
319,373,3,pickup,USPS,2025-01-03 23:55:21,2025-01-07 23:55:21,delivered
320,374,5,standard,UPS,2024-03-17 23:27:29,2024-03-21 23:27:29,lost
321,375,3,pickup,DHL,2025-05-04 19:12:43,,delivered
322,377,5,pickup,UPS,2024-03-19 06:45:11,2024-03-20 06:45:11,delivered
323,378,6,expedited,USPS,2025-12-02 19:21:19,2025-12-11 19:21:19,delivered
324,379,8,pickup,FedEx,2024-04-24 04:30:31,2024-05-03 04:30:31,delivered
325,380,6,overnight,UPS,2024-12-30 09:35:41,2024-12-31 09:35:41,returned
326,381,4,expedited,USPS,2023-12-25 01:11:19,2024-01-04 01:11:19,in_transit
