return_id,order_id,customer_id,return_reason,return_status,refund_amount,return_date
90,1330,715,Changed mind,received,273.76,2026-01-11
91,1334,7944,Changed mind,refunded,593.73,2023-04-20
92,1335,2556,Arrived late,refunded,187.89,2023-08-13
93,1347,2579,Arrived late,refunded,213.55,2023-07-29
94,1350,9888,Too large,rejected,1318.82,2023-12-16
95,1359,6579,Arrived late,refunded,808.66,2025-01-30
96,1361,2818,Wrong item,requested,950.96,2025-07-06
97,1371,7730,Arrived late,refunded,58.71,2023-06-21
98,1400,393,Too large,received,601.17,2023-12-11
99,1416,1925,Too large,requested,884.83,2023-08-06
100,1418,7659,Damaged,refunded,847.58,2023-10-28
101,1428,6875,Not as described,approved,706.96,2025-10-03
102,1433,4737,Wrong item,refunded,960.96,2024-07-09
103,1435,8266,Changed mind,requested,90.04,2025-01-25
104,1440,7774,Too large,requested,531.40,2024-02-19
105,1451,2171,Too large,received,230.39,2023-08-04
106,1477,2737,Not as described,received,326.62,2024-01-30
107,1494,3521,Too small,received,125.58,2025-02-01
108,1505,3974,Changed mind,refunded,392.72,2023-06-21
109,1515,3827,Wrong item,refunded,385.20,2025-02-19
110,1531,7704,Too small,approved,593.79,2024-12-19
111,1548,1216,Damaged,refunded,637.55,2024-04-13
112,1565,2596,Changed mind,refunded,612.78,2023-08-19
113,1567,2507,Wrong item,refunded,159.46,2023-05-27
114,1601,3483,Changed mind,received,1798.67,2023-11-22
115,1680,2366,Too large,rejected,202.40,2025-08-30
116,1718,6378,Changed mind,refunded,32.24,2023-11-10
117,1719,9002,Wrong item,requested,387.52,2024-10-06
118,1749,2441,Too large,received,990.16,2023-02-21
119,1768,6433,Too large,requested,810.28,2023-04-21
120,1782,9214,Too small,rejected,484.71,2025-08-24
121,1798,4343,Wrong item,received,474.84,2026-01-04
122,1816,6196,Changed mind,refunded,189.34,2023-05-28
123,1828,2490,Not as described,received,247.37,2023-11-20
124,1841,2259,Changed mind,refunded,564.61,2025-08-02
125,1871,4826,Not as described,refunded,922.77,2023-04-12
126,1872,4552,Too small,received,533.84,2023-11-05
127,1913,8938,Arrived late,rejected,96.98,2023-12-23
128,1919,1044,Too small,received,343.65,2024-04-22
129,1926,3281,Too small,received,1280.03,2024-08-10
130,1939,9182,Damaged,received,667.55,2023-11-15
131,1940,7434,Wrong item,refunded,184.86,2024-06-10
132,1950,6964,Too small,received,89.41,2024-11-19
133,1957,2495,Changed mind,rejected,394.43,2025-01-21
134,1978,1600,Wrong item,received,319.05,2023-06-22
135,1989,4362,Arrived late,refunded,61.07,2024-05-15
136,1991,2519,Damaged,received,308.16,2023-09-22
137,1997,4679,Wrong item,refunded,863.68,2024-12-01
138,2008,9424,Too small,requested,1387.15,2025-03-09
139,2013,4743,Too small,approved,97.81,2024-12-29
140,2028,6217,Wrong item,refunded,675.79,2024-01-06
141,2048,8727,Arrived late,rejected,691.10,2025-02-04
142,2115,6285,Too small,received,263.11,2025-05-03
143,2131,3183,Too large,requested,77.14,2023-04-04
144,2154,8822,Not as described,refunded,33.17,2025-05-14
145,2155,3881,Not as described,received,918.06,2024-01-30
146,2158,5094,Too small,refunded,2809.20,2024-02-16
147,2190,7072,Arrived late,refunded,1567.76,2026-02-09
148,2212,7902,Too small,refunded,512.99,2024-12-27
149,2214,5217,Wrong item,received,93.73,2025-06-08
150,2215,3463,Damaged,refunded,680.38,2024-09-03
151,2228,2301,Wrong item,approved,83.15,2026-02-01
152,2251,6004,Arrived late,approved,292.09,2024-03-01
153,2255,5997,Wrong item,refunded,812.82,2025-08-24
154,2276,8450,Not as described,refunded,414.57,2025-05-02
155,2284,1335,Damaged,refunded,210.23,2025-11-08
156,2302,9572,Changed mind,refunded,484.28,2024-07-12
157,2305,1552,Wrong item,approved,599.97,2025-01-24
158,2312,3755,Too large,received,146.08,2025-08-22
159,2318,2020,Not as described,refunded,283.69,2024-07-29
160,2323,1263,Damaged,rejected,319.53,2023-04-07
161,2329,2691,Damaged,refunded,897.95,2023-12-07
162,2349,4943,Wrong item,refunded,337.06,2023-07-20
163,2369,5586,Too small,refunded,569.38,2025-10-21
164,2420,8933,Damaged,requested,197.90,2026-01-23
165,2445,1989,Not as described,received,93.11,2025-03-24
166,2454,3323,Damaged,refunded,212.44,2024-11-12
167,2480,2239,Wrong item,received,24.61,2025-05-09
168,2488,6310,Damaged,refunded,1053.72,2025-01-12
169,2509,2175,Too small,received,796.91,2025-09-14
170,2513,9611,Too small,refunded,721.78,2024-10-10
171,2517,8547,Wrong item,received,63.15,2025-08-03
172,2534,715,Damaged,rejected,193.11,2023-12-10
173,2541,9328,Damaged,refunded,57.39,2024-08-31
174,2544,9613,Too small,refunded,2030.96,2025-01-11
175,2552,7656,Changed mind,refunded,7.49,2024-03-12
176,2560,9915,Damaged,approved,231.84,2024-04-29
177,2566,7163,Damaged,received,1245.80,2023-05-22
178,2573,1087,Arrived late,approved,1945.55,2024-08-05
179,2577,2228,Too small,requested,556.07,2025-04-09
180,2580,4341,Changed mind,rejected,146.96,2023-09-26
181,2583,6118,Wrong item,rejected,865.59,2024-01-08
182,2590,2626,Changed mind,received,418.82,2025-03-23
183,2599,7447,Arrived late,received,2080.88,2024-08-05
184,2605,7607,Wrong item,refunded,715.09,2025-03-25
185,2628,2834,Wrong item,received,814.64,2025-10-28
186,2651,8691,Too small,requested,223.90,2025-07-12
187,2653,5687,Damaged,received,300.80,2024-02-18
188,2680,5424,Too small,requested,2426.31,2024-03-30
189,2684,7793,Too small,refunded,111.33,2023-02-12
190,2706,9849,Changed mind,approved,569.57,2023-11-27
191,2712,9933,Not as described,approved,1042.46,2025-01-09
192,2720,9114,Damaged,received,57.61,2024-11-16
193,2754,227,Not as described,received,94.31,2024-01-25
194,2771,5903,Wrong item,refunded,407.00,2023-10-02
195,2773,4074,Wrong item,refunded,968.56,2024-02-15
196,2794,5139,Too small,received,248.92,2025-09-16
197,2815,83,Too small,received,1196.72,2024-09-14
198,2830,4858,Damaged,received,315.66,2025-04-22
199,2858,1192,Too small,approved,500.45,2025-09-06
200,2895,2256,Changed mind,rejected,776.11,2023-11-26
201,2936,5052,Wrong item,refunded,352.01,2023-06-19
202,2940,4358,Not as described,refunded,1652.31,2023-04-18
203,2974,3887,Too large,approved,363.75,2023-10-29
204,2984,9256,Damaged,refunded,133.98,2024-11-29
205,3010,797,Damaged,refunded,190.09,2025-09-06
206,3019,4938,Too large,refunded,552.22,2024-02-26
207,3020,2341,Wrong item,approved,606.19,2023-07-21
208,3026,8428,Damaged,approved,9.99,2024-03-12
209,3030,7529,Not as described,received,736.23,2023-02-12
210,3031,6981,Changed mind,refunded,83.60,2024-02-08
211,3035,7926,Wrong item,received,1139.95,2025-04-15
212,3036,3502,Arrived late,refunded,909.61,2024-05-08
213,3052,3886,Too small,approved,176.32,2024-06-09
214,3060,1543,Changed mind,received,255.35,2025-05-12
215,3078,7991,Damaged,refunded,2993.28,2023-10-08
216,3114,2761,Too large,refunded,165.00,2023-12-26
217,3126,6275,Too small,approved,120.83,2024-08-21
218,3133,7066,Changed mind,approved,1230.32,2024-02-07
219,3143,7928,Changed mind,refunded,303.04,2025-01-12
220,3157,3578,Too small,refunded,89.75,2025-10-28
221,3164,1275,Wrong item,refunded,156.97,2025-03-18
222,3167,9088,Wrong item,approved,815.12,2023-10-06
223,3181,6779,Damaged,refunded,193.93,2023-10-12
224,3185,4370,Damaged,refunded,979.10,2025-01-04
225,3189,5913,Damaged,received,485.84,2023-08-04
226,3194,9840,Not as described,refunded,885.65,2023-08-03
227,3195,9520,Changed mind,requested,652.11,2025-04-08
228,3231,167,Too large,refunded,1219.79,2023-11-01
229,3234,2603,Wrong item,received,36.46,2024-01-31
230,3244,4847,Damaged,refunded,56.03,2025-12-06
231,3299,4084,Too large,approved,108.22,2023-10-13
232,3323,9891,Wrong item,refunded,1322.69,2025-02-15
233,3327,2242,Arrived late,requested,2037.46,2025-03-22
234,3336,9488,Damaged,requested,466.69,2025-10-27
235,3343,8311,Too small,rejected,231.13,2025-07-08
236,3352,8709,Wrong item,refunded,76.77,2023-08-14
237,3360,8640,Too small,refunded,238.77,2024-10-19
238,3369,9600,Damaged,rejected,800.80,2023-05-04
239,3380,8718,Too small,received,593.07,2025-03-29
240,3390,4462,Not as described,refunded,92.71,2024-05-02
241,3400,4623,Not as described,received,276.76,2023-11-11
242,3412,4692,Not as described,requested,477.21,2023-08-18
243,3414,5564,Too small,refunded,1079.08,2023-06-27
244,3433,3361,Arrived late,received,77.42,2023-04-02
245,3464,8025,Damaged,refunded,557.89,2024-07-26
246,3482,3016,Damaged,received,275.62,2025-06-27
247,3512,5361,Damaged,refunded,230.32,2025-12-09
248,3517,7441,Damaged,refunded,12.56,2026-01-07
249,3535,6368,Arrived late,received,1585.26,2024-08-17
250,3547,9027,Damaged,approved,639.23,2024-08-26
251,3579,202,Arrived late,refunded,236.89,2025-06-05
252,3582,9866,Damaged,refunded,188.73,2025-09-08
253,3583,5057,Too small,rejected,370.71,2025-12-09
254,3590,4816,Changed mind,requested,311.97,2025-02-10
255,3600,5845,Arrived late,refunded,62.29,2025-09-06
256,3607,9310,Too large,refunded,156.38,2025-04-11
257,3615,8441,Damaged,approved,742.03,2023-07-31
258,3616,7943,Wrong item,approved,1173.48,2024-06-07
259,3679,8379,Too small,received,23.22,2024-09-02
260,3697,8320,Arrived late,rejected,74.67,2024-08-09
261,3702,3051,Too large,refunded,521.03,2024-06-06
262,3707,6330,Damaged,rejected,775.83,2025-01-14
263,3709,8791,Too small,refunded,53.87,2023-03-04
264,3713,1594,Not as described,refunded,319.20,2024-01-06
265,3720,1472,Too large,refunded,235.11,2025-05-07
266,3726,8809,Changed mind,refunded,523.61,2025-10-31
267,3728,7266,Too small,refunded,236.88,2023-10-11
268,3749,2213,Too large,received,191.68,2023-10-23
269,3764,9229,Wrong item,requested,601.29,2025-09-12
270,3765,3930,Damaged,refunded,664.52,2023-05-26
271,3771,957,Too large,approved,595.23,2025-10-08
272,3772,523,Too large,refunded,692.13,2023-08-11
273,3781,8020,Changed mind,received,81.96,2025-05-19
274,3784,4436,Not as described,rejected,73.04,2024-09-12
275,3787,1809,Not as described,requested,374.88,2025-09-28
276,3790,371,Not as described,received,481.38,2024-01-26
277,3796,4255,Damaged,received,123.61,2025-07-31
278,3802,2977,Too large,refunded,348.58,2023-06-25
279,3807,3034,Too large,refunded,182.20,2023-04-26
280,3816,3287,Too large,approved,36.09,2023-09-08
281,3837,8888,Damaged,refunded,939.95,2025-10-08
282,3839,2856,Wrong item,refunded,826.40,2024-07-27
283,3856,9550,Too small,approved,934.72,2024-10-14
284,3866,4196,Not as described,approved,609.91,2024-09-21
285,3873,8086,Arrived late,approved,1084.09,2025-07-10
286,3877,7641,Damaged,received,139.04,2023-08-08
287,3889,4270,Arrived late,approved,380.29,2023-03-27
288,3898,5379,Not as described,refunded,399.46,2023-05-29
289,3920,4926,Too small,approved,614.24,2024-07-02
290,3935,456,Changed mind,approved,276.43,2024-11-25
291,3955,9016,Too small,rejected,924.42,2025-03-26
292,3966,7548,Changed mind,received,254.52,2025-06-20
293,3967,6917,Wrong item,refunded,102.36,2025-10-22
294,3968,4819,Arrived late,requested,190.77,2025-05-20
295,3976,1369,Arrived late,refunded,2130.64,2023-03-29
296,3990,7594,Not as described,refunded,1860.56,2025-03-31
297,4015,6443,Not as described,rejected,293.87,2024-07-09
298,4033,4602,Too small,refunded,853.31,2023-10-31
299,4064,5352,Not as described,requested,30.48,2025-05-04
300,4072,1380,Wrong item,received,902.95,2024-06-06
301,4073,9665,Wrong item,approved,4037.12,2023-09-21
302,4079,2985,Changed mind,requested,212.26,2025-01-08
303,4084,7350,Arrived late,received,259.14,2025-08-03
304,4110,8780,Damaged,received,166.11,2023-03-22
305,4114,5866,Changed mind,received,186.80,2025-07-22
306,4139,4563,Too small,refunded,314.88,2025-08-26
307,4161,5297,Damaged,received,1690.14,2024-06-26
308,4168,5820,Too small,refunded,266.20,2024-07-17
309,4172,7734,Too large,refunded,582.78,2023-03-02
310,4179,8247,Arrived late,rejected,227.52,2025-08-31
311,4182,2085,Not as described,refunded,1433.12,2024-02-15
312,4252,8129,Too small,approved,837.31,2025-01-29
313,4280,2695,Damaged,received,365.75,2024-12-16
314,4289,926,Not as described,received,245.33,2025-12-21
315,4307,7331,Arrived late,received,332.89,2024-04-23
316,4310,2823,Damaged,refunded,1111.04,2025-02-19
317,4313,6935,Changed mind,approved,953.54,2024-01-24
318,4331,3514,Wrong item,rejected,39.51,2023-10-11
319,4333,6326,Not as described,refunded,263.08,2023-05-15
320,4351,3447,Too small,refunded,513.02,2023-02-22
321,4361,9323,Not as described,refunded,148.79,2023-06-08
322,4363,8638,Changed mind,requested,433.03,2025-09-29
323,4388,4010,Arrived late,rejected,153.32,2023-08-05
324,4395,7437,Changed mind,received,442.75,2024-03-24
325,4403,9648,Wrong item,refunded,361.49,2025-12-14
326,4437,2830,Wrong item,refunded,94.58,2024-08-28
327,4497,6949,Too large,refunded,1428.76,2023-07-14
328,4505,7614,Damaged,refunded,878.45,2025-03-21
329,4568,7741,Changed mind,refunded,680.27,2025-07-28
330,4597,8760,Not as described,approved,261.82,2025-03-06
331,4622,4581,Too large,refunded,495.24,2025-09-12
332,4630,9251,Too large,refunded,835.53,2023-04-29
333,4635,2047,Too large,refunded,61.10,2024-11-19
334,4640,204,Not as described,refunded,413.92,2023-04-14
335,4645,8409,Not as described,approved,551.36,2024-06-21
336,4650,7279,Wrong item,refunded,1266.31,2023-07-13
337,4659,133,Damaged,refunded,797.94,2025-06-03
338,4682,4315,Arrived late,received,58.70,2025-02-28
339,4695,4844,Too small,approved,563.42,2024-01-04
340,4705,3552,Too small,received,2125.98,2023-11-16
341,4753,8540,Too small,approved,701.41,2024-10-18
342,4756,3003,Changed mind,refunded,122.16,2024-04-12
343,4768,5369,Too small,requested,379.71,2024-02-29
344,4790,5783,Arrived late,approved,286.39,2025-09-07
345,4794,2838,Arrived late,refunded,500.78,2025-07-05
346,4798,5030,Too large,refunded,2164.35,2024-08-14
347,4869,471,Too small,refunded,17.67,2023-08-27
348,4870,4214,Changed mind,approved,977.28,2023-06-18
349,4872,9886,Not as described,refunded,1511.77,2025-10-21
350,4877,7430,Damaged,refunded,595.09,2023-09-10
351,4891,7317,Changed mind,received,57.97,2023-09-02
352,4917,49,Not as described,approved,447.62,2023-05-23
353,4920,7679,Too small,received,884.43,2024-08-29
354,4976,8539,Too large,refunded,301.40,2023-02-06
355,4988,3802,Too small,rejected,164.39,2025-03-14
356,4995,3879,Too small,refunded,132.89,2023-10-12
357,5001,4555,Not as described,refunded,89.55,2025-05-08
358,5004,3302,Not as described,received,1274.55,2024-04-26
359,5016,6095,Too small,refunded,641.19,2024-12-04
360,5050,9223,Too large,approved,465.64,2023-09-25
361,5065,2744,Arrived late,refunded,720.70,2026-01-08
362,5092,4150,Not as described,received,490.64,2025-06-02
363,5095,9324,Changed mind,received,1096.83,2025-11-07
364,5105,5401,Not as described,requested,61.19,2025-11-25
365,5111,1871,Too small,refunded,363.76,2026-01-04
366,5116,7673,Arrived late,approved,95.74,2025-04-13
367,5130,7435,Too large,approved,823.38,2023-06-03
368,5135,3145,Wrong item,refunded,127.81,2025-12-27
369,5141,5200,Damaged,refunded,232.51,2023-10-07
370,5144,7385,Too small,refunded,114.14,2023-06-11
371,5173,796,Changed mind,refunded,170.05,2023-07-20
372,5214,2555,Wrong item,refunded,840.56,2024-06-22
373,5218,7497,Too large,refunded,1065.10,2025-11-08
374,5228,88,Changed mind,refunded,399.36,2025-08-29
375,5243,64,Changed mind,approved,846.99,2023-07-13
376,5268,7151,Too small,refunded,192.36,2025-06-10
377,5281,3844,Not as described,refunded,758.58,2025-04-20
378,5284,4750,Changed mind,rejected,1063.09,2024-07-18
379,5289,868,Wrong item,refunded,261.63,2025-09-29
380,5347,5388,Wrong item,received,230.01,2023-03-06
381,5380,1420,Damaged,refunded,154.14,2023-11-25
382,5388,6680,Too small,received,222.09,2023-01-30
383,5398,2337,Changed mind,approved,872.86,2025-04-26
384,5404,6454,Not as described,refunded,365.65,2024-07-19
385,5406,4378,Not as described,refunded,124.99,2025-05-25
386,5409,9358,Too small,rejected,211.21,2025-08-11
387,5443,8961,Too small,received,97.45,2025-06-02
388,5467,9002,Arrived late,rejected,63.83,2025-09-26
389,5476,7110,Too large,refunded,382.92,2024-03-09
390,5490,7563,Arrived late,refunded,545.21,2023-04-09
391,5491,9777,Too small,refunded,66.61,2023-05-05
392,5506,5641,Damaged,rejected,1766.43,2025-12-20
393,5508,4079,Changed mind,approved,212.90,2023-11-05
394,5512,5134,Too large,refunded,232.05,2025-12-29
395,5518,194,Not as described,requested,1470.77,2023-08-30
396,5554,8597,Wrong item,refunded,782.73,2024-04-17
397,5555,8193,Arrived late,approved,584.27,2024-02-25
398,5559,7510,Damaged,received,639.02,2025-12-30
399,5570,6631,Not as described,received,676.11,2023-07-02
400,5578,7328,Arrived late,approved,555.94,2024-09-12
401,5606,9608,Not as described,received,282.52,2025-05-19
402,5609,2498,Too large,refunded,390.34,2023-04-04
403,5638,6470,Arrived late,rejected,1745.73,2025-09-16
404,5644,8832,Too large,requested,328.31,2024-03-01
405,5651,8150,Too large,approved,873.04,2023-05-18
406,5659,4225,Not as described,refunded,264.84,2026-01-18
407,5675,5229,Changed mind,received,379.33,2024-06-15
408,5680,961,Wrong item,received,172.82,2024-03-12
409,5683,7606,Too small,refunded,272.04,2026-02-06
410,5688,7522,Wrong item,refunded,27.93,2025-06-17
411,5725,8343,Wrong item,rejected,702.91,2025-08-13
412,5785,3016,Too small,refunded,1616.90,2026-02-21
413,5794,1816,Not as described,refunded,57.29,2025-06-17
414,5807,924,Not as described,approved,142.31,2026-01-24
415,5816,1132,Too large,refunded,1054.62,2024-10-04
416,5841,2312,Changed mind,received,200.94,2024-11-15
417,5924,1123,Changed mind,received,539.62,2023-09-03
418,5930,3962,Arrived late,rejected,449.51,2024-10-05
419,5940,5958,Changed mind,approved,182.50,2023-09-14
420,5942,3732,Too large,received,2089.56,2025-02-28
421,5944,2404,Not as described,refunded,481.88,2025-06-10
422,5960,4214,Too small,approved,426.86,2025-11-18
423,5991,8030,Too small,refunded,1172.09,2025-07-08
424,6002,8097,Damaged,rejected,534.87,2025-05-23
425,6069,5888,Too small,refunded,404.99,2025-04-05
426,6073,6921,Too small,refunded,5.02,2025-12-08
427,6084,785,Not as described,approved,324.57,2024-03-14
428,6107,4205,Arrived late,refunded,135.71,2024-06-12
429,6144,6520,Changed mind,refunded,303.91,2025-04-04
430,6151,423,Arrived late,refunded,308.41,2023-06-05
431,6165,4587,Damaged,refunded,1329.44,2024-10-04
432,6177,4951,Too large,approved,127.01,2023-05-04
433,6226,3217,Changed mind,rejected,296.09,2024-02-07
434,6287,8688,Too large,refunded,2001.69,2023-10-14
435,6299,771,Too small,refunded,2059.56,2024-10-31
436,6313,7255,Damaged,requested,2072.81,2024-12-21
437,6341,815,Changed mind,refunded,416.90,2023-04-28
438,6356,6618,Arrived late,refunded,1855.40,2025-05-17
439,6370,2623,Changed mind,rejected,347.08,2024-12-26
440,6371,7471,Arrived late,refunded,2189.89,2024-07-22
441,6378,6531,Too small,requested,2192.83,2023-02-04
442,6400,9906,Too small,requested,86.29,2023-06-03
443,6421,3985,Not as described,refunded,100.62,2025-03-27
444,6422,8071,Too small,received,475.71,2025-11-16
445,6436,4774,Arrived late,received,173.74,2024-02-10
446,6439,2379,Arrived late,received,68.37,2024-05-12
447,6472,6489,Too small,received,59.65,2025-04-30
448,6484,76,Arrived late,received,208.28,2025-08-22
449,6491,8558,Arrived late,rejected,318.21,2024-04-25
450,6547,5224,Arrived late,requested,180.59,2024-05-30
451,6548,3731,Too small,requested,1197.04,2025-08-28
452,6554,252,Wrong item,refunded,132.45,2023-12-24
453,6607,8785,Not as described,refunded,232.34,2024-08-10
454,6611,9801,Wrong item,requested,171.40,2025-08-09
455,6622,1260,Wrong item,refunded,509.14,2025-09-24
456,6641,8874,Too large,approved,400.30,2023-10-23
457,6650,9568,Too small,received,790.36,2023-05-30
458,6655,9452,Too small,requested,413.65,2025-08-10
459,6658,2338,Changed mind,received,719.46,2024-05-11
460,6663,4138,Damaged,rejected,818.92,2024-01-23
461,6676,9463,Too small,approved,274.34,2023-07-12
462,6706,8939,Wrong item,refunded,269.93,2024-09-16
463,6739,2522,Not as described,refunded,111.25,2026-02-03
464,6741,2292,Wrong item,refunded,187.73,2024-06-28
465,6760,5694,Arrived late,requested,794.53,2024-04-20
466,6780,4543,Arrived late,refunded,172.85,2025-02-17
467,6785,4482,Wrong item,refunded,536.61,2025-11-13
468,6798,3851,Arrived late,received,1039.39,2025-11-03
469,6802,9177,Wrong item,refunded,664.22,2024-10-06
470,6816,1783,Too large,requested,553.03,2024-06-12
471,6841,3271,Not as described,requested,243.86,2025-04-15
472,6852,180,Damaged,refunded,74.90,2026-01-14
473,6877,2502,Changed mind,refunded,225.77,2024-03-28
474,6878,8699,Wrong item,approved,428.36,2025-06-12
475,6881,7065,Not as described,refunded,441.62,2023-11-14
476,6898,8293,Changed mind,refunded,509.79,2025-03-04
477,6903,2405,Changed mind,refunded,1757.96,2023-12-31
478,6905,8578,Not as described,refunded,178.77,2023-08-16
479,6919,4254,Arrived late,refunded,144.78,2024-07-03
480,6945,6083,Arrived late,approved,160.97,2025-06-06
481,6955,9534,Damaged,refunded,250.40,2024-05-11
482,6960,5661,Too small,approved,64.62,2025-04-18
483,7018,4274,Not as described,refunded,469.73,2023-09-18
484,7025,2721,Changed mind,refunded,873.81,2023-08-26
485,7031,3045,Arrived late,received,516.27,2024-11-20
486,7039,331,Not as described,requested,193.15,2025-01-19
487,7045,6981,Too large,approved,139.79,2024-02-19
488,7089,6782,Damaged,refunded,1115.36,2023-10-03
489,7109,7107,Too small,refunded,1660.33,2023-07-16
490,7113,3650,Not as described,requested,71.14,2025-07-08
491,7116,3380,Damaged,refunded,585.15,2024-05-05
492,7134,6016,Changed mind,refunded,480.79,2024-02-24
493,7151,9401,Not as described,approved,771.71,2023-09-13
494,7173,1952,Arrived late,refunded,611.83,2024-07-04
495,7180,900,Changed mind,refunded,230.61,2024-03-19
496,7200,398,Damaged,refunded,1447.64,2025-08-03
497,7201,2169,Arrived late,approved,1167.30,2025-12-29
498,7203,8005,Wrong item,approved,29.32,2023-06-28
499,7245,6098,Arrived late,approved,513.81,2024-11-29
500,7263,3007,Arrived late,requested,1003.45,2023-01-28
501,7264,4505,Damaged,received,440.12,2025-09-30
502,7274,2221,Too small,rejected,19.36,2025-01-02
503,7286,2732,Not as described,refunded,3114.03,2023-07-25
504,7291,9932,Damaged,refunded,143.37,2024-10-29
505,7307,5002,Changed mind,requested,176.86,2023-04-27
506,7313,1215,Arrived late,refunded,1540.61,2024-08-15
507,7332,6750,Not as described,refunded,380.84,2025-01-19
508,7339,3174,Arrived late,refunded,409.53,2023-12-25
